caseid,time,activity
-1,0,null_start_simulation
-1,0,start_simulation
1,68,arrival
1,68,join_queue
1,68,begin_service
2,75,arrival
2,75,join_queue
2,75,begin_service
3,122,arrival
3,122,join_queue
2,135,end_service
3,135,begin_service
4,167,arrival
4,167,join_queue
5,173,arrival
5,173,join_queue
6,185,arrival
6,185,join_queue
7,249,arrival
7,249,join_queue
3,320,end_service
4,320,begin_service
8,331,arrival
8,331,join_queue
1,368,end_service
5,368,begin_service
4,380,end_service
6,380,begin_service
9,382,arrival
9,382,join_queue
10,408,arrival
10,408,join_queue
11,411,arrival
11,411,join_queue
6,503,end_service
7,503,begin_service
12,525,arrival
12,525,join_queue
13,546,arrival
13,546,join_queue
7,588,end_service
8,588,begin_service
8,663,end_service
9,663,begin_service
5,668,end_service
10,668,begin_service
14,706,arrival
14,706,join_queue
9,727,end_service
11,727,begin_service
10,728,end_service
12,728,begin_service
15,817,arrival
15,817,join_queue
12,838,end_service
13,838,begin_service
11,846,end_service
14,846,begin_service
13,898,end_service
15,898,begin_service
15,958,end_service
16,989,arrival
16,989,join_queue
16,989,begin_service
17,993,arrival
17,993,join_queue
18,1010,arrival
18,1010,join_queue
16,1049,end_service
17,1049,begin_service
19,1096,arrival
19,1096,join_queue
20,1110,arrival
20,1110,join_queue
17,1124,end_service
18,1124,begin_service
14,1146,end_service
19,1146,begin_service
21,1161,arrival
21,1161,join_queue
19,1206,end_service
20,1206,begin_service
18,1211,end_service
21,1211,begin_service
22,1214,arrival
22,1214,join_queue
23,1228,arrival
23,1228,join_queue
24,1250,arrival
24,1250,join_queue
20,1266,end_service
22,1266,begin_service
25,1319,arrival
25,1319,join_queue
26,1324,arrival
26,1324,join_queue
27,1339,arrival
27,1339,join_queue
28,1351,arrival
28,1351,join_queue
29,1376,arrival
29,1376,join_queue
22,1381,end_service
23,1381,begin_service
30,1383,arrival
30,1383,join_queue
21,1397,end_service
24,1397,begin_service
31,1451,arrival
31,1451,join_queue
24,1457,end_service
25,1457,begin_service
23,1464,end_service
26,1464,begin_service
26,1572,end_service
27,1572,begin_service
25,1590,end_service
28,1590,begin_service
32,1599,arrival
32,1599,join_queue
33,1619,arrival
33,1619,join_queue
27,1632,end_service
29,1632,begin_service
28,1650,end_service
30,1650,begin_service
34,1651,arrival
34,1651,join_queue
29,1692,end_service
31,1692,begin_service
35,1697,arrival
35,1697,join_queue
30,1750,end_service
36,1750,arrival
36,1750,join_queue
32,1750,begin_service
31,1752,end_service
33,1752,begin_service
37,1769,arrival
37,1769,join_queue
38,1786,arrival
38,1786,join_queue
39,1814,arrival
39,1814,join_queue
32,1832,end_service
34,1832,begin_service
33,1881,end_service
35,1881,begin_service
34,1929,end_service
36,1929,begin_service
40,1980,arrival
40,1980,join_queue
41,2002,arrival
41,2002,join_queue
42,2014,arrival
42,2014,join_queue
43,2032,arrival
43,2032,join_queue
36,2114,end_service
37,2114,begin_service
35,2118,end_service
38,2118,begin_service
37,2174,end_service
39,2174,begin_service
38,2178,end_service
40,2178,begin_service
44,2207,arrival
44,2207,join_queue
45,2208,arrival
45,2208,join_queue
39,2234,end_service
41,2234,begin_service
46,2237,arrival
46,2237,join_queue
47,2237,arrival
47,2237,join_queue
40,2257,end_service
42,2257,begin_service
48,2277,arrival
48,2277,join_queue
49,2315,arrival
49,2315,join_queue
50,2364,arrival
50,2364,join_queue
41,2366,end_service
51,2366,arrival
51,2366,join_queue
43,2366,begin_service
52,2409,arrival
52,2409,join_queue
53,2489,arrival
53,2489,join_queue
54,2503,arrival
54,2503,balk
55,2534,arrival
55,2534,balk
42,2557,end_service
44,2557,begin_service
56,2570,arrival
56,2570,join_queue
43,2666,end_service
45,2666,begin_service
45,2798,end_service
46,2798,begin_service
57,2829,arrival
57,2829,join_queue
44,2847,end_service
47,2847,begin_service
58,2852,arrival
58,2852,join_queue
46,2872,end_service
48,2872,begin_service
47,2907,end_service
49,2907,begin_service
59,2937,arrival
59,2937,join_queue
60,2968,arrival
60,2968,join_queue
61,2972,arrival
61,2972,join_queue
62,2990,arrival
62,2990,balk
48,3013,end_service
50,3013,begin_service
49,3040,end_service
51,3040,begin_service
63,3057,arrival
63,3057,join_queue
64,3139,arrival
64,3139,join_queue
50,3181,end_service
52,3181,begin_service
65,3193,arrival
65,3193,join_queue
66,3209,arrival
66,3209,balk
52,3241,end_service
53,3241,begin_service
67,3279,arrival
67,3279,join_queue
51,3340,end_service
56,3340,begin_service
68,3369,arrival
68,3369,join_queue
69,3379,arrival
69,3379,balk
70,3403,arrival
70,3403,balk
71,3409,arrival
71,3409,balk
72,3428,arrival
72,3428,balk
73,3449,arrival
73,3449,balk
56,3470,end_service
57,3470,begin_service
53,3541,end_service
58,3541,begin_service
74,3570,arrival
74,3570,join_queue
75,3635,arrival
75,3635,join_queue
76,3646,arrival
76,3646,balk
57,3667,end_service
59,3667,begin_service
77,3701,arrival
77,3701,join_queue
78,3703,arrival
78,3703,balk
79,3705,arrival
79,3705,balk
80,3730,arrival
80,3730,balk
58,3841,end_service
60,3841,begin_service
81,3891,arrival
81,3891,join_queue
82,3918,arrival
82,3918,balk
83,3952,arrival
83,3952,balk
59,3967,end_service
61,3967,begin_service
60,4013,end_service
63,4013,begin_service
61,4027,end_service
64,4027,begin_service
84,4064,arrival
84,4064,join_queue
85,4087,arrival
85,4087,join_queue
63,4104,end_service
65,4104,begin_service
86,4107,arrival
86,4107,join_queue
87,4157,arrival
87,4157,join_queue
65,4164,end_service
67,4164,begin_service
64,4205,end_service
68,4205,begin_service
67,4234,end_service
74,4234,begin_service
68,4265,end_service
75,4265,begin_service
88,4298,arrival
88,4298,join_queue
89,4360,arrival
89,4360,join_queue
75,4373,end_service
77,4373,begin_service
77,4436,end_service
81,4436,begin_service
74,4463,end_service
84,4463,begin_service
90,4501,arrival
90,4501,join_queue
91,4524,arrival
91,4524,join_queue
92,4595,arrival
92,4595,join_queue
81,4617,end_service
85,4617,begin_service
84,4669,end_service
86,4669,begin_service
93,4693,arrival
93,4693,join_queue
94,4710,arrival
94,4710,join_queue
95,4724,arrival
95,4724,join_queue
86,4729,end_service
87,4729,begin_service
96,4736,arrival
96,4736,join_queue
85,4814,end_service
88,4814,begin_service
87,4816,end_service
89,4816,begin_service
97,4857,arrival
97,4857,join_queue
98,4893,arrival
98,4893,join_queue
99,4929,arrival
99,4929,join_queue
89,4948,end_service
90,4948,begin_service
100,4996,arrival
