caseid,time,activity
-1,0,null_start_simulation
-1,0,start_simulation
1,40,arrival
1,40,join_queue
1,40,begin_service
2,43,arrival
2,43,join_queue
2,43,begin_service
3,64,arrival
3,64,join_queue
4,89,arrival
4,89,join_queue
2,103,end_service
3,103,begin_service
1,141,end_service
4,141,begin_service
5,153,arrival
5,153,join_queue
3,163,end_service
5,163,begin_service
4,201,end_service
6,202,arrival
6,202,join_queue
6,202,begin_service
6,262,end_service
5,289,end_service
7,299,arrival
7,299,join_queue
7,299,begin_service
7,359,end_service
8,415,arrival
8,415,join_queue
8,415,begin_service
8,533,end_service
9,538,arrival
9,538,join_queue
9,538,begin_service
10,575,arrival
10,575,join_queue
10,575,begin_service
9,598,end_service
10,635,end_service
11,727,arrival
11,727,join_queue
11,727,begin_service
12,747,arrival
12,747,join_queue
12,747,begin_service
13,778,arrival
13,778,join_queue
11,787,end_service
13,787,begin_service
14,803,arrival
14,803,join_queue
12,807,end_service
14,807,begin_service
14,889,end_service
15,895,arrival
15,895,join_queue
15,895,begin_service
15,965,end_service
16,989,arrival
16,989,join_queue
16,989,begin_service
17,1039,arrival
17,1039,join_queue
18,1039,arrival
18,1039,join_queue
19,1041,arrival
19,1041,join_queue
16,1049,end_service
17,1049,begin_service
13,1052,end_service
18,1052,begin_service
17,1109,end_service
19,1109,begin_service
18,1149,end_service
20,1154,arrival
20,1154,join_queue
20,1154,begin_service
19,1198,end_service
20,1214,end_service
21,1232,arrival
21,1232,join_queue
21,1232,begin_service
21,1362,end_service
22,1599,arrival
22,1599,join_queue
22,1599,begin_service
23,1638,arrival
23,1638,join_queue
23,1638,begin_service
24,1673,arrival
24,1673,join_queue
25,1694,arrival
25,1694,join_queue
23,1698,end_service
24,1698,begin_service
26,1713,arrival
26,1713,join_queue
24,1758,end_service
25,1758,begin_service
27,1818,arrival
27,1818,join_queue
22,1819,end_service
26,1819,begin_service
28,1830,arrival
28,1830,join_queue
29,1867,arrival
29,1867,join_queue
30,1896,arrival
30,1896,join_queue
31,1912,arrival
31,1912,join_queue
25,1925,end_service
27,1925,begin_service
32,1944,arrival
32,1944,join_queue
33,1972,arrival
33,1972,join_queue
27,1985,end_service
28,1985,begin_service
34,2003,arrival
34,2003,join_queue
28,2045,end_service
29,2045,begin_service
35,2051,arrival
35,2051,join_queue
36,2056,arrival
36,2056,join_queue
37,2070,arrival
37,2070,join_queue
38,2104,arrival
38,2104,join_queue
29,2105,end_service
30,2105,begin_service
26,2117,end_service
31,2117,begin_service
39,2139,arrival
39,2139,join_queue
31,2177,end_service
32,2177,begin_service
40,2280,arrival
40,2280,join_queue
41,2344,arrival
41,2344,join_queue
30,2394,end_service
33,2394,begin_service
42,2404,arrival
42,2404,join_queue
32,2413,end_service
34,2413,begin_service
43,2505,arrival
43,2505,join_queue
34,2546,end_service
35,2546,begin_service
44,2595,arrival
44,2595,join_queue
45,2631,arrival
45,2631,join_queue
33,2694,end_service
36,2694,begin_service
36,2759,end_service
37,2759,begin_service
46,2791,arrival
46,2791,join_queue
47,2794,arrival
47,2794,join_queue
48,2812,arrival
48,2812,balk
37,2819,end_service
38,2819,begin_service
35,2822,end_service
39,2822,begin_service
49,2893,arrival
49,2893,join_queue
38,2898,end_service
40,2898,begin_service
50,2930,arrival
50,2930,join_queue
51,2940,arrival
51,2940,join_queue
52,3086,arrival
52,3086,balk
39,3092,end_service
41,3092,begin_service
53,3148,arrival
53,3148,join_queue
54,3156,arrival
54,3156,balk
55,3159,arrival
55,3159,balk
40,3170,end_service
42,3170,begin_service
56,3175,arrival
56,3175,join_queue
41,3188,end_service
43,3188,begin_service
42,3230,end_service
44,3230,begin_service
57,3234,arrival
57,3234,join_queue
43,3258,end_service
45,3258,begin_service
44,3345,end_service
46,3345,begin_service
45,3358,end_service
47,3358,begin_service
46,3405,end_service
49,3405,begin_service
47,3450,end_service
50,3450,begin_service
58,3467,arrival
58,3467,join_queue
59,3490,arrival
59,3490,join_queue
50,3510,end_service
51,3510,begin_service
49,3517,end_service
53,3517,begin_service
51,3570,end_service
56,3570,begin_service
60,3592,arrival
60,3592,join_queue
61,3618,arrival
61,3618,join_queue
53,3623,end_service
57,3623,begin_service
56,3633,end_service
58,3633,begin_service
62,3639,arrival
62,3639,join_queue
57,3683,end_service
59,3683,begin_service
63,3740,arrival
63,3740,join_queue
59,3799,end_service
60,3799,begin_service
58,3804,end_service
61,3804,begin_service
64,3856,arrival
64,3856,join_queue
60,3859,end_service
62,3859,begin_service
61,3894,end_service
63,3894,begin_service
62,3919,end_service
64,3919,begin_service
65,3967,arrival
65,3967,join_queue
66,3994,arrival
66,3994,join_queue
67,4022,arrival
67,4022,join_queue
64,4023,end_service
65,4023,begin_service
68,4092,arrival
68,4092,join_queue
69,4108,arrival
69,4108,join_queue
70,4133,arrival
70,4133,join_queue
71,4149,arrival
71,4149,join_queue
63,4194,end_service
66,4194,begin_service
65,4213,end_service
67,4213,begin_service
72,4298,arrival
72,4298,join_queue
73,4308,arrival
73,4308,join_queue
66,4311,end_service
68,4311,begin_service
67,4326,end_service
69,4326,begin_service
68,4371,end_service
70,4371,begin_service
69,4432,end_service
71,4432,begin_service
74,4456,arrival
74,4456,join_queue
75,4524,arrival
75,4524,join_queue
71,4538,end_service
72,4538,begin_service
76,4540,arrival
76,4540,join_queue
77,4584,arrival
77,4584,join_queue
72,4650,end_service
73,4650,begin_service
70,4671,end_service
74,4671,begin_service
78,4706,arrival
78,4706,join_queue
79,4746,arrival
79,4746,join_queue
73,4773,end_service
75,4773,begin_service
80,4810,arrival
80,4810,join_queue
74,4834,end_service
76,4834,begin_service
75,4835,end_service
77,4835,begin_service
81,4836,arrival
81,4836,join_queue
76,4901,end_service
78,4901,begin_service
78,4961,end_service
79,4961,begin_service
77,5000,end_service
80,5000,begin_service
82,5014,arrival
82,5014,join_queue
80,5060,end_service
81,5060,begin_service
83,5078,arrival
83,5078,join_queue
81,5120,end_service
82,5120,begin_service
79,5159,end_service
84,5159,arrival
84,5159,join_queue
83,5159,begin_service
83,5219,end_service
84,5219,begin_service
82,5237,end_service
85,5273,arrival
85,5273,join_queue
85,5273,begin_service
84,5304,end_service
85,5333,end_service
86,5443,arrival
86,5443,join_queue
86,5443,begin_service
86,5503,end_service
87,5517,arrival
87,5517,join_queue
87,5517,begin_service
88,5642,arrival
88,5642,join_queue
88,5642,begin_service
88,5702,end_service
89,5788,arrival
