caseid,time,activity
-1,0,null_start_simulation
-1,0,start_simulation
1,86,arrival
1,86,join_queue
1,86,begin_service
2,87,arrival
2,87,join_queue
2,87,begin_service
3,96,arrival
3,96,join_queue
1,146,end_service
3,146,begin_service
2,147,end_service
4,155,arrival
4,155,join_queue
4,155,begin_service
5,191,arrival
5,191,join_queue
4,215,end_service
5,215,begin_service
3,271,end_service
5,275,end_service
6,407,arrival
6,407,join_queue
6,407,begin_service
7,441,arrival
7,441,join_queue
7,441,begin_service
7,515,end_service
6,520,end_service
8,521,arrival
8,521,join_queue
8,521,begin_service
9,555,arrival
9,555,join_queue
9,555,begin_service
8,581,end_service
9,625,end_service
10,643,arrival
10,643,join_queue
10,643,begin_service
11,653,arrival
11,653,join_queue
11,653,begin_service
12,657,arrival
12,657,join_queue
13,690,arrival
13,690,join_queue
10,703,end_service
12,703,begin_service
11,713,end_service
13,713,begin_service
14,721,arrival
14,721,join_queue
15,736,arrival
15,736,join_queue
16,745,arrival
16,745,join_queue
12,763,end_service
14,763,begin_service
13,773,end_service
15,773,begin_service
17,774,arrival
17,774,join_queue
18,775,arrival
18,775,join_queue
19,777,arrival
19,777,join_queue
15,833,end_service
16,833,begin_service
20,871,arrival
20,871,join_queue
21,916,arrival
21,916,join_queue
22,967,arrival
22,967,join_queue
16,1052,end_service
17,1052,begin_service
14,1063,end_service
18,1063,begin_service
23,1097,arrival
23,1097,join_queue
18,1123,end_service
19,1123,begin_service
24,1168,arrival
24,1168,join_queue
19,1183,end_service
20,1183,begin_service
17,1231,end_service
21,1231,begin_service
21,1291,end_service
22,1291,begin_service
25,1297,arrival
25,1297,join_queue
26,1314,arrival
26,1314,join_queue
27,1319,arrival
27,1319,join_queue
28,1437,arrival
28,1437,join_queue
22,1438,end_service
23,1438,begin_service
29,1461,arrival
29,1461,join_queue
20,1483,end_service
24,1483,begin_service
30,1509,arrival
30,1509,join_queue
23,1543,end_service
25,1543,begin_service
31,1611,arrival
31,1611,join_queue
24,1613,end_service
26,1613,begin_service
32,1638,arrival
32,1638,join_queue
33,1705,arrival
33,1705,join_queue
34,1710,arrival
34,1710,join_queue
35,1749,arrival
35,1749,join_queue
26,1769,end_service
27,1769,begin_service
27,1829,end_service
28,1829,begin_service
25,1834,end_service
29,1834,begin_service
36,1883,arrival
36,1883,join_queue
29,1894,end_service
30,1894,begin_service
30,1954,end_service
31,1954,begin_service
28,2001,end_service
32,2001,begin_service
37,2026,arrival
37,2026,join_queue
38,2096,arrival
38,2096,join_queue
39,2102,arrival
39,2102,join_queue
40,2110,arrival
40,2110,join_queue
31,2113,end_service
33,2113,begin_service
41,2114,arrival
41,2114,join_queue
42,2162,arrival
42,2162,join_queue
43,2163,arrival
43,2163,join_queue
44,2166,arrival
44,2166,balk
32,2199,end_service
34,2199,begin_service
45,2208,arrival
45,2208,join_queue
33,2220,end_service
35,2220,begin_service
46,2230,arrival
46,2230,join_queue
47,2233,arrival
47,2233,balk
48,2240,arrival
48,2240,balk
35,2280,end_service
36,2280,begin_service
49,2322,arrival
49,2322,join_queue
50,2366,arrival
50,2366,balk
51,2436,arrival
51,2436,balk
34,2495,end_service
37,2495,begin_service
52,2497,arrival
52,2497,join_queue
53,2501,arrival
53,2501,balk
54,2536,arrival
54,2536,balk
37,2560,end_service
38,2560,begin_service
55,2565,arrival
55,2565,join_queue
36,2580,end_service
39,2580,begin_service
38,2620,end_service
40,2620,begin_service
56,2670,arrival
56,2670,join_queue
40,2680,end_service
41,2680,begin_service
39,2731,end_service
42,2731,begin_service
41,2850,end_service
43,2850,begin_service
42,2988,end_service
45,2988,begin_service
45,3060,end_service
46,3060,begin_service
57,3066,arrival
57,3066,join_queue
58,3096,arrival
58,3096,join_queue
43,3150,end_service
49,3150,begin_service
59,3152,arrival
59,3152,join_queue
60,3153,arrival
60,3153,join_queue
61,3172,arrival
61,3172,join_queue
49,3210,end_service
52,3210,begin_service
62,3228,arrival
62,3228,join_queue
46,3239,end_service
55,3239,begin_service
63,3299,arrival
63,3299,join_queue
52,3316,end_service
56,3316,begin_service
64,3329,arrival
64,3329,join_queue
55,3377,end_service
57,3377,begin_service
65,3424,arrival
65,3424,join_queue
57,3437,end_service
58,3437,begin_service
66,3455,arrival
66,3455,join_queue
58,3497,end_service
59,3497,begin_service
67,3502,arrival
67,3502,join_queue
68,3517,arrival
68,3517,join_queue
59,3557,end_service
60,3557,begin_service
69,3589,arrival
69,3589,join_queue
56,3611,end_service
61,3611,begin_service
61,3671,end_service
62,3671,begin_service
70,3695,arrival
70,3695,join_queue
71,3715,arrival
71,3715,join_queue
60,3741,end_service
63,3741,begin_service
72,3755,arrival
72,3755,join_queue
62,3794,end_service
64,3794,begin_service
63,3801,end_service
65,3801,begin_service
65,3873,end_service
66,3873,begin_service
73,3912,arrival
73,3912,join_queue
74,3945,arrival
74,3945,join_queue
66,4065,end_service
67,4065,begin_service
64,4094,end_service
68,4094,begin_service
75,4229,arrival
75,4229,join_queue
76,4294,arrival
76,4294,join_queue
67,4365,end_service
69,4365,begin_service
68,4394,end_service
70,4394,begin_service
70,4502,end_service
71,4502,begin_service
77,4528,arrival
77,4528,join_queue
78,4544,arrival
78,4544,join_queue
69,4573,end_service
72,4573,begin_service
79,4659,arrival
79,4659,join_queue
80,4689,arrival
80,4689,join_queue
81,4695,arrival
81,4695,join_queue
71,4697,end_service
73,4697,begin_service
82,4699,arrival
82,4699,join_queue
72,4753,end_service
74,4753,begin_service
83,4821,arrival
83,4821,join_queue
84,4826,arrival
84,4826,join_queue
74,4875,end_service
75,4875,begin_service
85,4890,arrival
85,4890,join_queue
86,4916,arrival
86,4916,balk
87,4922,arrival
87,4922,balk
73,4939,end_service
76,4939,begin_service
75,4948,end_service
77,4948,begin_service
88,4966,arrival
88,4966,join_queue
76,4999,end_service
78,4999,begin_service
78,5070,end_service
79,5070,begin_service
77,5073,end_service
80,5073,begin_service
89,5112,arrival
89,5112,join_queue
79,5130,end_service
90,5130,arrival
90,5130,join_queue
81,5130,begin_service
80,5161,end_service
82,5161,begin_service
81,5190,end_service
83,5190,begin_service
91,5194,arrival
91,5194,join_queue
82,5224,end_service
84,5224,begin_service
84,5284,end_service
85,5284,begin_service
92,5302,arrival
92,5302,join_queue
93,5315,arrival
93,5315,join_queue
94,5327,arrival
94,5327,join_queue
95,5338,arrival
95,5338,join_queue
85,5354,end_service
88,5354,begin_service
83,5490,end_service
