caseid,time,activity
-1,0,null_start_simulation
-1,0,start_simulation
1,17,arrival
1,17,join_queue
1,17,begin_service
2,57,arrival
2,57,join_queue
2,57,begin_service
1,96,end_service
3,182,arrival
2,182,end_service
3,182,join_queue
3,182,begin_service
4,240,arrival
4,240,join_queue
4,240,begin_service
3,243,end_service
5,259,arrival
5,259,join_queue
5,259,begin_service
6,262,arrival
6,262,join_queue
7,276,arrival
7,276,join_queue
4,300,end_service
6,300,begin_service
8,317,arrival
8,317,join_queue
5,319,end_service
7,319,begin_service
7,379,end_service
8,379,begin_service
9,382,arrival
9,382,join_queue
8,440,end_service
9,440,begin_service
10,542,arrival
10,542,join_queue
11,573,arrival
11,573,join_queue
6,600,end_service
10,600,begin_service
12,609,arrival
12,609,join_queue
13,639,arrival
13,639,join_queue
9,642,end_service
11,642,begin_service
14,649,arrival
14,649,join_queue
11,702,end_service
12,702,begin_service
12,762,end_service
13,762,begin_service
10,800,end_service
14,800,begin_service
13,830,end_service
15,930,arrival
15,930,join_queue
15,930,begin_service
15,990,end_service
14,1008,end_service
16,1030,arrival
16,1030,join_queue
16,1030,begin_service
17,1033,arrival
17,1033,join_queue
17,1033,begin_service
17,1093,end_service
18,1175,arrival
18,1175,join_queue
18,1175,begin_service
16,1203,end_service
18,1235,end_service
19,1276,arrival
19,1276,join_queue
19,1276,begin_service
19,1336,end_service
20,1347,arrival
20,1347,join_queue
20,1347,begin_service
21,1490,arrival
21,1490,join_queue
21,1490,begin_service
21,1550,end_service
22,1584,arrival
22,1584,join_queue
22,1584,begin_service
23,1627,arrival
23,1627,join_queue
22,1644,end_service
23,1644,begin_service
20,1647,end_service
23,1704,end_service
24,1728,arrival
24,1728,join_queue
24,1728,begin_service
25,1750,arrival
25,1750,join_queue
25,1750,begin_service
24,1788,end_service
26,1795,arrival
26,1795,join_queue
26,1795,begin_service
27,1806,arrival
27,1806,join_queue
25,1824,end_service
27,1824,begin_service
28,1842,arrival
28,1842,join_queue
27,1884,end_service
28,1884,begin_service
29,1896,arrival
29,1896,join_queue
28,1944,end_service
29,1944,begin_service
29,2004,end_service
30,2018,arrival
30,2018,join_queue
30,2018,begin_service
26,2030,end_service
31,2049,arrival
31,2049,join_queue
31,2049,begin_service
30,2096,end_service
31,2169,end_service
32,2247,arrival
32,2247,join_queue
32,2247,begin_service
32,2307,end_service
33,2329,arrival
33,2329,join_queue
33,2329,begin_service
33,2389,end_service
34,2414,arrival
34,2414,join_queue
34,2414,begin_service
35,2449,arrival
35,2449,join_queue
35,2449,begin_service
36,2465,arrival
36,2465,join_queue
37,2470,arrival
37,2470,join_queue
34,2474,end_service
36,2474,begin_service
38,2538,arrival
38,2538,join_queue
39,2576,arrival
39,2576,join_queue
35,2612,end_service
37,2612,begin_service
40,2617,arrival
40,2617,join_queue
41,2619,arrival
41,2619,join_queue
36,2680,end_service
38,2680,begin_service
38,2740,end_service
39,2740,begin_service
39,2800,end_service
40,2800,begin_service
42,2823,arrival
42,2823,join_queue
43,2852,arrival
43,2852,join_queue
44,2859,arrival
44,2859,join_queue
40,2860,end_service
41,2860,begin_service
45,2868,arrival
45,2868,join_queue
46,2904,arrival
46,2904,join_queue
37,2912,end_service
42,2912,begin_service
41,2955,end_service
43,2955,begin_service
47,2993,arrival
47,2993,join_queue
48,3044,arrival
48,3044,join_queue
42,3053,end_service
44,3053,begin_service
43,3072,end_service
45,3072,begin_service
44,3113,end_service
46,3113,begin_service
45,3132,end_service
47,3132,begin_service
49,3166,arrival
49,3166,join_queue
46,3173,end_service
48,3173,begin_service
47,3192,end_service
49,3192,begin_service
48,3233,end_service
50,3273,arrival
50,3273,join_queue
50,3273,begin_service
51,3277,arrival
51,3277,join_queue
52,3332,arrival
52,3332,join_queue
49,3356,end_service
51,3356,begin_service
50,3406,end_service
52,3406,begin_service
53,3445,arrival
53,3445,join_queue
52,3466,end_service
53,3466,begin_service
51,3479,end_service
54,3518,arrival
54,3518,join_queue
54,3518,begin_service
53,3526,end_service
54,3578,end_service
55,3700,arrival
55,3700,join_queue
55,3700,begin_service
56,3728,arrival
56,3728,join_queue
56,3728,begin_service
55,3760,end_service
57,3772,arrival
57,3772,join_queue
57,3772,begin_service
57,3832,end_service
58,3833,arrival
58,3833,join_queue
58,3833,begin_service
59,3889,arrival
59,3889,join_queue
58,3893,end_service
59,3893,begin_service
56,3928,end_service
60,3940,arrival
60,3940,join_queue
60,3940,begin_service
60,4000,end_service
61,4034,arrival
61,4034,join_queue
61,4034,begin_service
62,4068,arrival
62,4068,join_queue
63,4081,arrival
63,4081,join_queue
64,4111,arrival
64,4111,join_queue
61,4143,end_service
62,4143,begin_service
65,4173,arrival
65,4173,join_queue
59,4193,end_service
63,4193,begin_service
66,4213,arrival
66,4213,join_queue
62,4215,end_service
64,4215,begin_service
67,4258,arrival
67,4258,join_queue
64,4280,end_service
65,4280,begin_service
63,4329,end_service
66,4329,begin_service
65,4340,end_service
67,4340,begin_service
68,4372,arrival
68,4372,join_queue
69,4402,arrival
69,4402,join_queue
67,4409,end_service
68,4409,begin_service
66,4413,end_service
69,4413,begin_service
70,4496,arrival
70,4496,join_queue
71,4536,arrival
71,4536,join_queue
69,4657,end_service
70,4657,begin_service
72,4670,arrival
72,4670,join_queue
68,4709,end_service
71,4709,begin_service
73,4753,arrival
73,4753,join_queue
74,4793,arrival
74,4793,join_queue
75,4834,arrival
75,4834,join_queue
70,4837,end_service
72,4837,begin_service
72,4941,end_service
73,4941,begin_service
71,4981,end_service
74,4981,begin_service
73,5001,end_service
75,5001,begin_service
74,5079,end_service
76,5110,arrival
76,5110,join_queue
76,5110,begin_service
77,5138,arrival
77,5138,join_queue
75,5165,end_service
77,5165,begin_service
76,5170,end_service
77,5225,end_service
78,5257,arrival
78,5257,join_queue
78,5257,begin_service
79,5259,arrival
79,5259,join_queue
79,5259,begin_service
80,5339,arrival
80,5339,join_queue
81,5412,arrival
81,5412,join_queue
82,5436,arrival
82,5436,join_queue
79,5449,end_service
80,5449,begin_service
83,5521,arrival
83,5521,join_queue
78,5557,end_service
81,5557,begin_service
84,5560,arrival
84,5560,join_queue
85,5598,arrival
85,5598,join_queue
80,5749,end_service
82,5749,begin_service
86,5763,arrival
86,5763,join_queue
81,5792,end_service
83,5792,begin_service
82,5847,end_service
84,5847,begin_service
87,5849,arrival
87,5849,join_queue
88,5916,arrival
88,5916,join_queue
89,5926,arrival
