caseid,time,activity
-1,0,null_start_simulation
-1,0,start_simulation
1,13,arrival
1,13,join_queue
1,13,begin_service
1,140,end_service
2,186,arrival
2,186,join_queue
2,186,begin_service
2,246,end_service
3,294,arrival
3,294,join_queue
3,294,begin_service
4,394,arrival
4,394,join_queue
5,395,arrival
5,395,join_queue
6,406,arrival
6,406,join_queue
7,471,arrival
7,471,join_queue
8,486,arrival
8,486,join_queue
9,498,arrival
9,498,join_queue
10,510,arrival
10,510,join_queue
3,592,end_service
4,592,begin_service
11,692,arrival
11,692,join_queue
12,775,arrival
12,775,join_queue
13,795,arrival
13,795,join_queue
4,817,end_service
5,817,begin_service
14,822,arrival
14,822,join_queue
15,854,arrival
15,854,join_queue
16,875,arrival
16,875,balk
5,896,end_service
6,896,begin_service
17,901,arrival
17,901,join_queue
18,1092,arrival
18,1092,balk
6,1114,end_service
7,1114,begin_service
19,1130,arrival
19,1130,join_queue
20,1164,arrival
20,1164,balk
7,1174,end_service
8,1174,begin_service
21,1185,arrival
21,1185,join_queue
22,1194,arrival
22,1194,balk
23,1196,arrival
23,1196,balk
24,1226,arrival
24,1226,balk
25,1230,arrival
25,1230,balk
8,1234,end_service
9,1234,begin_service
26,1265,arrival
26,1265,join_queue
9,1355,end_service
10,1355,begin_service
27,1377,arrival
27,1377,join_queue
10,1415,end_service
11,1415,begin_service
28,1453,arrival
28,1453,join_queue
11,1485,end_service
12,1485,begin_service
29,1540,arrival
29,1540,join_queue
12,1545,end_service
13,1545,begin_service
13,1605,end_service
14,1605,begin_service
14,1665,end_service
15,1665,begin_service
15,1725,end_service
17,1725,begin_service
30,1749,arrival
30,1749,join_queue
31,1763,arrival
31,1763,join_queue
17,1785,end_service
19,1785,begin_service
32,1826,arrival
32,1826,join_queue
33,1828,arrival
33,1828,join_queue
34,1916,arrival
34,1916,join_queue
19,1950,end_service
21,1950,begin_service
35,1994,arrival
35,1994,join_queue
36,2017,arrival
36,2017,balk
37,2074,arrival
37,2074,balk
21,2166,end_service
26,2166,begin_service
38,2234,arrival
38,2234,join_queue
26,2375,end_service
27,2375,begin_service
39,2383,arrival
39,2383,join_queue
40,2391,arrival
40,2391,balk
27,2435,end_service
28,2435,begin_service
28,2495,end_service
29,2495,begin_service
41,2555,arrival
41,2555,join_queue
29,2623,end_service
30,2623,begin_service
42,2624,arrival
42,2624,join_queue
43,2626,arrival
43,2626,join_queue
44,2637,arrival
44,2637,balk
45,2647,arrival
45,2647,balk
46,2672,arrival
46,2672,balk
47,2780,arrival
47,2780,balk
48,2785,arrival
48,2785,balk
49,2903,arrival
49,2903,balk
50,2916,arrival
50,2916,balk
30,2923,end_service
31,2923,begin_service
31,3158,end_service
32,3158,begin_service
51,3185,arrival
51,3185,join_queue
52,3234,arrival
52,3234,join_queue
32,3235,end_service
33,3235,begin_service
33,3295,end_service
34,3295,begin_service
53,3296,arrival
53,3296,join_queue
54,3338,arrival
54,3338,join_queue
34,3485,end_service
35,3485,begin_service
55,3518,arrival
55,3518,join_queue
56,3604,arrival
56,3604,balk
57,3669,arrival
57,3669,balk
35,3676,end_service
38,3676,begin_service
58,3724,arrival
58,3724,join_queue
38,3757,end_service
39,3757,begin_service
59,3779,arrival
59,3779,join_queue
60,3804,arrival
60,3804,balk
39,3842,end_service
41,3842,begin_service
61,3887,arrival
61,3887,join_queue
41,3902,end_service
42,3902,begin_service
62,3942,arrival
62,3942,join_queue
42,4031,end_service
43,4031,begin_service
63,4033,arrival
63,4033,join_queue
43,4091,end_service
51,4091,begin_service
64,4105,arrival
64,4105,join_queue
65,4124,arrival
65,4124,balk
51,4174,end_service
52,4174,begin_service
66,4175,arrival
66,4175,join_queue
67,4237,arrival
67,4237,balk
52,4320,end_service
53,4320,begin_service
68,4375,arrival
68,4375,join_queue
53,4380,end_service
54,4380,begin_service
54,4440,end_service
55,4440,begin_service
69,4523,arrival
69,4523,join_queue
70,4560,arrival
70,4560,join_queue
55,4666,end_service
58,4666,begin_service
71,4670,arrival
71,4670,join_queue
72,4699,arrival
72,4699,balk
58,4726,end_service
59,4726,begin_service
59,4808,end_service
61,4808,begin_service
73,4813,arrival
73,4813,join_queue
74,4844,arrival
74,4844,join_queue
75,4877,arrival
75,4877,balk
76,4937,arrival
76,4937,balk
77,4972,arrival
77,4972,balk
61,4980,end_service
62,4980,begin_service
62,5040,end_service
63,5040,begin_service
78,5050,arrival
78,5050,join_queue
63,5100,end_service
64,5100,begin_service
64,5350,end_service
66,5350,begin_service
66,5434,end_service
68,5434,begin_service
79,5474,arrival
79,5474,join_queue
68,5494,end_service
69,5494,begin_service
80,5552,arrival
80,5552,join_queue
69,5554,end_service
70,5554,begin_service
81,5570,arrival
81,5570,join_queue
82,5590,arrival
82,5590,join_queue
83,5613,arrival
83,5613,join_queue
70,5666,end_service
71,5666,begin_service
84,5670,arrival
84,5670,join_queue
85,5702,arrival
85,5702,join_queue
86,5728,arrival
86,5728,balk
87,5740,arrival
87,5740,balk
71,5766,end_service
73,5766,begin_service
88,5834,arrival
88,5834,join_queue
73,5845,end_service
74,5845,begin_service
89,5869,arrival
89,5869,join_queue
90,5888,arrival
90,5888,balk
74,5915,end_service
78,5915,begin_service
91,5946,arrival
91,5946,join_queue
78,6001,end_service
79,6001,begin_service
79,6074,end_service
80,6074,begin_service
92,6116,arrival
92,6116,join_queue
80,6144,end_service
81,6144,begin_service
93,6153,arrival
93,6153,join_queue
94,6261,arrival
94,6261,join_queue
81,6302,end_service
82,6302,begin_service
82,6362,end_service
83,6362,begin_service
95,6368,arrival
95,6368,join_queue
83,6422,end_service
96,6422,arrival
96,6422,join_queue
84,6422,begin_service
97,6438,arrival
97,6438,join_queue
98,6444,arrival
98,6444,balk
84,6515,end_service
85,6515,begin_service
99,6518,arrival
99,6518,join_queue
85,6575,end_service
88,6575,begin_service
100,6577,arrival
100,6577,join_queue
101,6599,arrival
101,6599,balk
102,6689,arrival
102,6689,balk
103,6716,arrival
103,6716,balk
104,6734,arrival
104,6734,balk
105,6775,arrival
105,6775,balk
106,6778,arrival
106,6778,balk
107,6851,arrival
107,6851,balk
88,6875,end_service
89,6875,begin_service
89,6978,end_service
91,6978,begin_service
108,7004,arrival
108,7004,join_queue
109,7167,arrival
109,7167,join_queue
110,7213,arrival
110,7213,balk
91,7220,end_service
92,7220,begin_service
111,7263,arrival
111,7263,join_queue
92,7280,end_service
93,7280,begin_service
93,7340,end_service
