caseid,time,activity
-1,0,null_start_simulation
-1,0,start_simulation
1,40,arrival
1,40,join_queue
1,40,begin_service
1,100,end_service
2,112,arrival
2,112,join_queue
2,112,begin_service
3,143,arrival
3,143,join_queue
4,227,arrival
4,227,join_queue
5,301,arrival
5,301,join_queue
6,302,arrival
6,302,join_queue
7,326,arrival
7,326,join_queue
8,328,arrival
8,328,join_queue
9,402,arrival
9,402,join_queue
2,412,end_service
3,412,begin_service
10,414,arrival
10,414,join_queue
11,468,arrival
11,468,join_queue
12,561,arrival
12,561,join_queue
3,712,end_service
4,712,begin_service
13,741,arrival
13,741,join_queue
4,831,end_service
5,831,begin_service
14,879,arrival
14,879,join_queue
5,891,end_service
6,891,begin_service
6,1019,end_service
7,1019,begin_service
15,1042,arrival
15,1042,join_queue
16,1051,arrival
16,1051,join_queue
17,1075,arrival
17,1075,join_queue
7,1110,end_service
8,1110,begin_service
18,1199,arrival
18,1199,join_queue
19,1222,arrival
19,1222,balk
20,1254,arrival
20,1254,balk
21,1352,arrival
21,1352,balk
8,1410,end_service
9,1410,begin_service
22,1457,arrival
22,1457,join_queue
23,1457,arrival
23,1457,balk
9,1495,end_service
10,1495,begin_service
24,1532,arrival
24,1532,join_queue
25,1540,arrival
25,1540,balk
26,1551,arrival
26,1551,balk
27,1599,arrival
27,1599,balk
28,1682,arrival
28,1682,balk
29,1698,arrival
29,1698,balk
30,1704,arrival
30,1704,balk
31,1714,arrival
31,1714,balk
32,1771,arrival
32,1771,balk
10,1795,end_service
11,1795,begin_service
11,1855,end_service
12,1855,begin_service
33,1910,arrival
33,1910,join_queue
12,1915,end_service
13,1915,begin_service
34,1934,arrival
34,1934,join_queue
35,2013,arrival
35,2013,join_queue
13,2062,end_service
14,2062,begin_service
36,2102,arrival
36,2102,join_queue
37,2206,arrival
37,2206,balk
38,2208,arrival
38,2208,balk
39,2213,arrival
39,2213,balk
40,2246,arrival
40,2246,balk
41,2270,arrival
41,2270,balk
42,2323,arrival
42,2323,balk
43,2341,arrival
43,2341,balk
44,2345,arrival
44,2345,balk
14,2362,end_service
15,2362,begin_service
15,2487,end_service
16,2487,begin_service
45,2557,arrival
45,2557,join_queue
46,2661,arrival
46,2661,join_queue
47,2686,arrival
47,2686,balk
16,2701,end_service
17,2701,begin_service
48,2768,arrival
48,2768,join_queue
49,2768,arrival
49,2768,balk
17,2803,end_service
18,2803,begin_service
50,2865,arrival
50,2865,join_queue
51,2901,arrival
51,2901,balk
52,3008,arrival
52,3008,balk
53,3100,arrival
53,3100,balk
18,3103,end_service
22,3103,begin_service
54,3111,arrival
54,3111,join_queue
22,3165,end_service
24,3165,begin_service
55,3216,arrival
55,3216,join_queue
24,3225,end_service
33,3225,begin_service
33,3345,end_service
34,3345,begin_service
56,3373,arrival
56,3373,join_queue
57,3395,arrival
57,3395,join_queue
34,3405,end_service
35,3405,begin_service
58,3441,arrival
58,3441,join_queue
59,3448,arrival
59,3448,balk
60,3512,arrival
60,3512,balk
35,3614,end_service
36,3614,begin_service
36,3674,end_service
45,3674,begin_service
45,3734,end_service
46,3734,begin_service
61,3759,arrival
61,3759,join_queue
62,3773,arrival
62,3773,join_queue
46,3794,end_service
48,3794,begin_service
63,3842,arrival
63,3842,join_queue
48,3867,end_service
50,3867,begin_service
64,3912,arrival
64,3912,join_queue
65,3926,arrival
65,3926,join_queue
50,4009,end_service
54,4009,begin_service
66,4013,arrival
66,4013,join_queue
67,4062,arrival
67,4062,balk
54,4069,end_service
55,4069,begin_service
68,4075,arrival
68,4075,join_queue
69,4172,arrival
69,4172,balk
70,4196,arrival
70,4196,balk
55,4240,end_service
56,4240,begin_service
71,4313,arrival
71,4313,join_queue
56,4373,end_service
57,4373,begin_service
72,4441,arrival
72,4441,join_queue
73,4441,arrival
73,4441,balk
57,4463,end_service
58,4463,begin_service
74,4486,arrival
74,4486,join_queue
75,4501,arrival
75,4501,balk
58,4523,end_service
61,4523,begin_service
61,4583,end_service
62,4583,begin_service
62,4643,end_service
63,4643,begin_service
76,4651,arrival
76,4651,join_queue
77,4687,arrival
77,4687,join_queue
78,4753,arrival
78,4753,join_queue
79,4907,arrival
79,4907,balk
63,4943,end_service
64,4943,begin_service
80,4983,arrival
80,4983,join_queue
81,5196,arrival
81,5196,balk
82,5200,arrival
82,5200,balk
83,5203,arrival
83,5203,balk
84,5214,arrival
84,5214,balk
64,5243,end_service
65,5243,begin_service
85,5248,arrival
85,5248,join_queue
86,5320,arrival
86,5320,balk
87,5432,arrival
87,5432,balk
65,5443,end_service
66,5443,begin_service
66,5553,end_service
68,5553,begin_service
88,5580,arrival
88,5580,join_queue
89,5606,arrival
89,5606,join_queue
90,5610,arrival
90,5610,balk
91,5622,arrival
91,5622,balk
92,5623,arrival
92,5623,balk
93,5681,arrival
93,5681,balk
94,5760,arrival
94,5760,balk
68,5774,end_service
71,5774,begin_service
95,5786,arrival
95,5786,join_queue
71,5834,end_service
96,5834,arrival
96,5834,balk
72,5834,begin_service
97,5868,arrival
97,5868,join_queue
98,5890,arrival
98,5890,balk
99,6066,arrival
99,6066,balk
72,6122,end_service
74,6122,begin_service
74,6182,end_service
76,6182,begin_service
100,6185,arrival
100,6185,join_queue
76,6242,end_service
77,6242,begin_service
101,6288,arrival
101,6288,join_queue
102,6346,arrival
102,6346,join_queue
77,6347,end_service
78,6347,begin_service
78,6407,end_service
80,6407,begin_service
103,6450,arrival
103,6450,join_queue
104,6578,arrival
104,6578,join_queue
80,6607,end_service
85,6607,begin_service
105,6640,arrival
105,6640,join_queue
85,6667,end_service
88,6667,begin_service
106,6671,arrival
106,6671,join_queue
107,6793,arrival
107,6793,balk
108,6796,arrival
108,6796,balk
109,6892,arrival
109,6892,balk
88,6914,end_service
89,6914,begin_service
110,6943,arrival
110,6943,join_queue
89,7092,end_service
95,7092,begin_service
111,7099,arrival
111,7099,join_queue
112,7106,arrival
112,7106,balk
113,7132,arrival
113,7132,balk
114,7175,arrival
114,7175,balk
115,7353,arrival
115,7353,balk
95,7392,end_service
97,7392,begin_service
97,7481,end_service
100,7481,begin_service
116,7537,arrival
116,7537,join_queue
100,7541,end_service
101,7541,begin_service
117,7543,arrival
117,7543,join_queue
118,7549,arrival
118,7549,join_queue
101,7601,end_service
102,7601,begin_service
102,7661,end_service
103,7661,begin_service
119,7697,arrival
119,7697,join_queue
120,7713,arrival
120,7713,join_queue
103,7721,end_service
