caseid,time,activity
-1,0,null_start_simulation
-1,0,start_simulation
1,33,arrival
1,33,join_queue
1,33,begin_service
2,71,arrival
2,71,join_queue
1,93,end_service
2,93,begin_service
3,171,arrival
3,171,join_queue
4,232,arrival
4,232,join_queue
2,240,end_service
3,240,begin_service
5,258,arrival
5,258,join_queue
3,300,end_service
4,300,begin_service
6,340,arrival
6,340,join_queue
4,360,end_service
5,360,begin_service
7,367,arrival
7,367,join_queue
5,442,end_service
6,442,begin_service
6,502,end_service
7,502,begin_service
8,539,arrival
8,539,join_queue
9,557,arrival
9,557,join_queue
10,575,arrival
10,575,join_queue
11,604,arrival
11,604,join_queue
12,618,arrival
12,618,join_queue
13,664,arrival
13,664,join_queue
14,751,arrival
14,751,join_queue
15,774,arrival
15,774,join_queue
7,802,end_service
8,802,begin_service
16,871,arrival
16,871,join_queue
8,905,end_service
9,905,begin_service
17,923,arrival
17,923,join_queue
18,930,arrival
18,930,join_queue
9,999,end_service
10,999,begin_service
19,1028,arrival
19,1028,join_queue
10,1059,end_service
11,1059,begin_service
20,1117,arrival
20,1117,join_queue
21,1164,arrival
21,1164,join_queue
22,1212,arrival
22,1212,balk
23,1220,arrival
23,1220,balk
11,1246,end_service
12,1246,begin_service
24,1278,arrival
24,1278,join_queue
12,1306,end_service
13,1306,begin_service
13,1366,end_service
14,1366,begin_service
14,1426,end_service
15,1426,begin_service
15,1486,end_service
16,1486,begin_service
25,1518,arrival
25,1518,join_queue
26,1577,arrival
26,1577,join_queue
27,1621,arrival
27,1621,join_queue
28,1625,arrival
28,1625,join_queue
16,1645,end_service
17,1645,begin_service
29,1654,arrival
29,1654,join_queue
30,1672,arrival
30,1672,balk
31,1731,arrival
31,1731,balk
17,1748,end_service
18,1748,begin_service
32,1797,arrival
32,1797,join_queue
18,1808,end_service
33,1808,arrival
33,1808,balk
19,1808,begin_service
34,1863,arrival
34,1863,join_queue
35,1873,arrival
35,1873,balk
19,1969,end_service
20,1969,begin_service
36,1980,arrival
36,1980,join_queue
37,2013,arrival
37,2013,balk
38,2066,arrival
38,2066,balk
39,2078,arrival
39,2078,balk
40,2079,arrival
40,2079,balk
41,2091,arrival
41,2091,balk
42,2153,arrival
42,2153,balk
20,2269,end_service
21,2269,begin_service
21,2439,end_service
24,2439,begin_service
43,2442,arrival
43,2442,join_queue
44,2523,arrival
44,2523,join_queue
45,2606,arrival
45,2606,balk
46,2616,arrival
46,2616,balk
47,2669,arrival
47,2669,balk
24,2733,end_service
25,2733,begin_service
25,2793,end_service
26,2793,begin_service
48,2796,arrival
48,2796,join_queue
49,2881,arrival
49,2881,join_queue
50,2889,arrival
50,2889,balk
51,2907,arrival
51,2907,balk
26,2943,end_service
27,2943,begin_service
52,2999,arrival
52,2999,join_queue
27,3003,end_service
28,3003,begin_service
53,3055,arrival
53,3055,join_queue
54,3098,arrival
54,3098,balk
28,3174,end_service
29,3174,begin_service
55,3177,arrival
55,3177,join_queue
29,3234,end_service
32,3234,begin_service
56,3340,arrival
56,3340,join_queue
57,3347,arrival
57,3347,balk
58,3351,arrival
58,3351,balk
59,3360,arrival
59,3360,balk
32,3380,end_service
34,3380,begin_service
60,3426,arrival
60,3426,join_queue
61,3429,arrival
61,3429,balk
62,3452,arrival
62,3452,balk
34,3516,end_service
36,3516,begin_service
63,3595,arrival
63,3595,join_queue
36,3621,end_service
43,3621,begin_service
43,3681,end_service
44,3681,begin_service
44,3821,end_service
48,3821,begin_service
64,3846,arrival
64,3846,join_queue
65,3851,arrival
65,3851,join_queue
48,3941,end_service
49,3941,begin_service
66,3981,arrival
66,3981,join_queue
67,4011,arrival
67,4011,join_queue
68,4051,arrival
68,4051,balk
49,4091,end_service
52,4091,begin_service
69,4154,arrival
69,4154,join_queue
70,4182,arrival
70,4182,balk
71,4222,arrival
71,4222,balk
72,4243,arrival
72,4243,balk
73,4298,arrival
73,4298,balk
52,4347,end_service
53,4347,begin_service
74,4387,arrival
74,4387,join_queue
75,4394,arrival
75,4394,balk
76,4402,arrival
76,4402,balk
77,4424,arrival
77,4424,balk
78,4430,arrival
78,4430,balk
53,4438,end_service
55,4438,begin_service
55,4498,end_service
56,4498,begin_service
79,4503,arrival
79,4503,join_queue
80,4526,arrival
80,4526,join_queue
56,4581,end_service
60,4581,begin_service
81,4582,arrival
81,4582,join_queue
82,4593,arrival
82,4593,balk
83,4596,arrival
83,4596,balk
60,4641,end_service
63,4641,begin_service
84,4643,arrival
84,4643,join_queue
85,4652,arrival
85,4652,balk
86,4682,arrival
86,4682,balk
63,4701,end_service
64,4701,begin_service
64,4770,end_service
65,4770,begin_service
65,4830,end_service
66,4830,begin_service
87,4930,arrival
87,4930,join_queue
66,5026,end_service
67,5026,begin_service
67,5139,end_service
69,5139,begin_service
88,5152,arrival
88,5152,join_queue
69,5199,end_service
74,5199,begin_service
89,5226,arrival
89,5226,join_queue
90,5298,arrival
90,5298,join_queue
74,5326,end_service
79,5326,begin_service
91,5377,arrival
91,5377,join_queue
79,5433,end_service
80,5433,begin_service
92,5470,arrival
92,5470,join_queue
93,5492,arrival
93,5492,join_queue
80,5493,end_service
81,5493,begin_service
81,5553,end_service
84,5553,begin_service
94,5569,arrival
94,5569,join_queue
95,5625,arrival
95,5625,join_queue
96,5672,arrival
96,5672,join_queue
97,5675,arrival
97,5675,balk
84,5721,end_service
87,5721,begin_service
98,5857,arrival
98,5857,join_queue
99,5936,arrival
99,5936,balk
87,5958,end_service
88,5958,begin_service
100,5981,arrival
100,5981,join_queue
88,6018,end_service
89,6018,begin_service
101,6073,arrival
101,6073,join_queue
102,6077,arrival
102,6077,balk
89,6170,end_service
90,6170,begin_service
103,6247,arrival
103,6247,join_queue
90,6429,end_service
91,6429,begin_service
104,6475,arrival
104,6475,join_queue
91,6489,end_service
92,6489,begin_service
105,6520,arrival
105,6520,join_queue
106,6537,arrival
106,6537,balk
107,6560,arrival
107,6560,balk
108,6609,arrival
108,6609,balk
92,6657,end_service
93,6657,begin_service
109,6658,arrival
109,6658,join_queue
110,6675,arrival
110,6675,balk
93,6735,end_service
94,6735,begin_service
94,6795,end_service
95,6795,begin_service
95,6855,end_service
96,6855,begin_service
111,6890,arrival
111,6890,join_queue
112,6905,arrival
112,6905,join_queue
113,6963,arrival
113,6963,join_queue
114,7061,arrival
114,7061,balk
115,7072,arrival
115,7072,balk
96,7082,end_service
98,7082,begin_service
116,7157,arrival
