caseid,time,activity
-1,0,null_start_simulation
-1,0,start_simulation
1,86,arrival
1,86,join_queue
1,86,begin_service
2,127,arrival
2,127,join_queue
3,137,arrival
3,137,join_queue
1,173,end_service
2,173,begin_service
2,233,end_service
3,233,begin_service
4,366,arrival
4,366,join_queue
5,409,arrival
5,409,join_queue
6,442,arrival
6,442,join_queue
7,444,arrival
7,444,join_queue
8,461,arrival
8,461,join_queue
9,488,arrival
9,488,join_queue
10,499,arrival
10,499,join_queue
3,533,end_service
4,533,begin_service
11,548,arrival
11,548,join_queue
12,603,arrival
12,603,join_queue
13,614,arrival
13,614,join_queue
4,634,end_service
5,634,begin_service
5,702,end_service
6,702,begin_service
14,779,arrival
14,779,join_queue
15,824,arrival
15,824,join_queue
6,839,end_service
7,839,begin_service
16,854,arrival
16,854,join_queue
17,856,arrival
17,856,join_queue
18,876,arrival
18,876,balk
7,899,end_service
8,899,begin_service
8,964,end_service
9,964,begin_service
19,972,arrival
19,972,join_queue
20,1051,arrival
20,1051,join_queue
21,1064,arrival
21,1064,balk
22,1071,arrival
22,1071,balk
23,1165,arrival
23,1165,balk
9,1264,end_service
10,1264,begin_service
10,1324,end_service
11,1324,begin_service
24,1360,arrival
24,1360,join_queue
11,1384,end_service
12,1384,begin_service
25,1391,arrival
25,1391,join_queue
12,1457,end_service
13,1457,begin_service
26,1486,arrival
26,1486,join_queue
27,1492,arrival
27,1492,join_queue
28,1530,arrival
28,1530,balk
29,1531,arrival
29,1531,balk
30,1548,arrival
30,1548,balk
31,1623,arrival
31,1623,balk
32,1683,arrival
32,1683,balk
13,1757,end_service
14,1757,begin_service
33,1775,arrival
33,1775,join_queue
34,1826,arrival
34,1826,balk
35,1878,arrival
35,1878,balk
36,1909,arrival
36,1909,balk
37,1927,arrival
37,1927,balk
38,1944,arrival
38,1944,balk
14,1951,end_service
15,1951,begin_service
39,1965,arrival
39,1965,join_queue
40,2005,arrival
40,2005,balk
15,2011,end_service
16,2011,begin_service
41,2049,arrival
41,2049,join_queue
42,2096,arrival
42,2096,balk
16,2128,end_service
17,2128,begin_service
43,2207,arrival
43,2207,join_queue
44,2301,arrival
44,2301,balk
17,2316,end_service
19,2316,begin_service
45,2329,arrival
45,2329,join_queue
19,2399,end_service
20,2399,begin_service
46,2418,arrival
46,2418,join_queue
20,2459,end_service
24,2459,begin_service
47,2494,arrival
47,2494,join_queue
48,2513,arrival
48,2513,balk
49,2565,arrival
49,2565,balk
50,2636,arrival
50,2636,balk
51,2656,arrival
51,2656,balk
24,2667,end_service
25,2667,begin_service
52,2674,arrival
52,2674,join_queue
53,2692,arrival
53,2692,balk
54,2707,arrival
54,2707,balk
25,2727,end_service
26,2727,begin_service
55,2738,arrival
55,2738,join_queue
56,2764,arrival
56,2764,balk
57,2779,arrival
57,2779,balk
58,2782,arrival
58,2782,balk
26,2787,end_service
27,2787,begin_service
59,2862,arrival
59,2862,join_queue
60,2932,arrival
60,2932,balk
61,2949,arrival
61,2949,balk
62,2974,arrival
62,2974,balk
27,2981,end_service
33,2981,begin_service
33,3059,end_service
39,3059,begin_service
63,3070,arrival
63,3070,join_queue
64,3082,arrival
64,3082,join_queue
65,3083,arrival
65,3083,balk
66,3087,arrival
66,3087,balk
39,3119,end_service
41,3119,begin_service
67,3173,arrival
67,3173,join_queue
41,3247,end_service
43,3247,begin_service
43,3307,end_service
45,3307,begin_service
68,3336,arrival
68,3336,join_queue
69,3357,arrival
69,3357,join_queue
45,3367,end_service
46,3367,begin_service
70,3391,arrival
70,3391,join_queue
46,3478,end_service
47,3478,begin_service
71,3542,arrival
71,3542,join_queue
72,3579,arrival
72,3579,balk
73,3732,arrival
73,3732,balk
47,3778,end_service
52,3778,begin_service
74,3820,arrival
74,3820,join_queue
75,3874,arrival
75,3874,balk
76,3979,arrival
76,3979,balk
52,4026,end_service
77,4026,arrival
77,4026,balk
55,4026,begin_service
78,4073,arrival
78,4073,join_queue
55,4086,end_service
59,4086,begin_service
79,4189,arrival
79,4189,join_queue
59,4196,end_service
63,4196,begin_service
80,4206,arrival
80,4206,join_queue
63,4256,end_service
64,4256,begin_service
81,4258,arrival
81,4258,join_queue
82,4258,arrival
82,4258,balk
83,4262,arrival
83,4262,balk
84,4340,arrival
84,4340,balk
64,4366,end_service
67,4366,begin_service
67,4426,end_service
68,4426,begin_service
68,4535,end_service
69,4535,begin_service
85,4648,arrival
85,4648,join_queue
69,4649,end_service
70,4649,begin_service
86,4692,arrival
86,4692,join_queue
70,4709,end_service
71,4709,begin_service
71,4769,end_service
74,4769,begin_service
74,4829,end_service
78,4829,begin_service
87,4846,arrival
87,4846,join_queue
88,4852,arrival
88,4852,join_queue
89,4861,arrival
89,4861,join_queue
78,4917,end_service
79,4917,begin_service
79,4980,end_service
80,4980,begin_service
90,5006,arrival
90,5006,join_queue
80,5040,end_service
81,5040,begin_service
91,5066,arrival
91,5066,join_queue
92,5084,arrival
92,5084,join_queue
81,5100,end_service
85,5100,begin_service
93,5174,arrival
93,5174,join_queue
85,5196,end_service
86,5196,begin_service
94,5203,arrival
94,5203,join_queue
95,5217,arrival
95,5217,join_queue
96,5235,arrival
96,5235,join_queue
97,5249,arrival
97,5249,balk
98,5297,arrival
98,5297,balk
99,5414,arrival
99,5414,balk
86,5417,end_service
87,5417,begin_service
87,5507,end_service
88,5507,begin_service
100,5522,arrival
100,5522,join_queue
101,5582,arrival
101,5582,join_queue
102,5592,arrival
102,5592,balk
88,5596,end_service
89,5596,begin_service
103,5619,arrival
103,5619,join_queue
89,5656,end_service
90,5656,begin_service
104,5716,arrival
104,5716,join_queue
90,5725,end_service
91,5725,begin_service
105,5728,arrival
105,5728,join_queue
106,5733,arrival
106,5733,balk
107,5741,arrival
107,5741,balk
108,5814,arrival
108,5814,balk
109,5905,arrival
109,5905,balk
110,5919,arrival
110,5919,balk
111,5935,arrival
111,5935,balk
91,5942,end_service
92,5942,begin_service
112,5955,arrival
112,5955,join_queue
113,5959,arrival
113,5959,balk
114,5988,arrival
114,5988,balk
92,6002,end_service
93,6002,begin_service
115,6013,arrival
115,6013,join_queue
93,6062,end_service
94,6062,begin_service
116,6088,arrival
116,6088,join_queue
117,6101,arrival
117,6101,balk
118,6114,arrival
118,6114,balk
94,6122,end_service
95,6122,begin_service
119,6155,arrival
119,6155,join_queue
120,6156,arrival
120,6156,balk
121,6173,arrival
121,6173,balk
95,6217,end_service
