caseid,time,activity
-1,0,null_start_simulation
-1,0,start_simulation
1,53,arrival
1,53,join_queue
1,53,begin_service
2,66,arrival
2,66,join_queue
3,66,arrival
3,66,join_queue
4,68,arrival
4,68,join_queue
5,129,arrival
5,129,join_queue
6,135,arrival
6,135,join_queue
7,142,arrival
7,142,join_queue
8,190,arrival
8,190,join_queue
9,231,arrival
9,231,join_queue
1,249,end_service
2,249,begin_service
10,338,arrival
10,338,join_queue
2,350,end_service
3,350,begin_service
11,374,arrival
11,374,join_queue
12,378,arrival
12,378,join_queue
13,383,arrival
13,383,join_queue
14,399,arrival
14,399,balk
15,399,arrival
15,399,balk
3,455,end_service
4,455,begin_service
16,483,arrival
16,483,join_queue
17,533,arrival
17,533,balk
18,595,arrival
18,595,balk
19,620,arrival
19,620,balk
4,634,end_service
5,634,begin_service
20,716,arrival
20,716,join_queue
5,726,end_service
6,726,begin_service
21,737,arrival
21,737,join_queue
22,756,arrival
22,756,balk
23,760,arrival
23,760,balk
24,842,arrival
24,842,balk
6,843,end_service
7,843,begin_service
25,881,arrival
25,881,join_queue
26,881,arrival
26,881,balk
7,903,end_service
8,903,begin_service
27,939,arrival
27,939,join_queue
28,940,arrival
28,940,balk
8,1101,end_service
9,1101,begin_service
9,1161,end_service
10,1161,begin_service
29,1170,arrival
29,1170,join_queue
30,1244,arrival
30,1244,join_queue
10,1279,end_service
11,1279,begin_service
31,1295,arrival
31,1295,join_queue
32,1370,arrival
32,1370,balk
33,1408,arrival
33,1408,balk
34,1533,arrival
34,1533,balk
11,1579,end_service
12,1579,begin_service
12,1709,end_service
13,1709,begin_service
13,1855,end_service
16,1855,begin_service
35,1874,arrival
35,1874,join_queue
36,1916,arrival
36,1916,join_queue
37,1922,arrival
37,1922,join_queue
38,1925,arrival
38,1925,balk
39,1949,arrival
39,1949,balk
40,2080,arrival
40,2080,balk
41,2093,arrival
41,2093,balk
42,2096,arrival
42,2096,balk
43,2146,arrival
43,2146,balk
16,2155,end_service
20,2155,begin_service
44,2157,arrival
44,2157,join_queue
45,2189,arrival
45,2189,balk
46,2220,arrival
46,2220,balk
47,2232,arrival
47,2232,balk
20,2245,end_service
21,2245,begin_service
48,2259,arrival
48,2259,join_queue
21,2365,end_service
25,2365,begin_service
49,2403,arrival
49,2403,join_queue
50,2443,arrival
50,2443,balk
51,2509,arrival
51,2509,balk
52,2563,arrival
52,2563,balk
25,2605,end_service
27,2605,begin_service
53,2634,arrival
53,2634,join_queue
54,2687,arrival
54,2687,balk
55,2687,arrival
55,2687,balk
27,2695,end_service
29,2695,begin_service
29,2856,end_service
30,2856,begin_service
56,2901,arrival
56,2901,join_queue
30,2916,end_service
31,2916,begin_service
57,3063,arrival
57,3063,join_queue
58,3068,arrival
58,3068,join_queue
31,3216,end_service
59,3216,arrival
59,3216,balk
35,3216,begin_service
60,3260,arrival
60,3260,join_queue
61,3297,arrival
61,3297,balk
62,3362,arrival
62,3362,balk
35,3380,end_service
36,3380,begin_service
63,3382,arrival
63,3382,join_queue
64,3435,arrival
64,3435,balk
36,3566,end_service
37,3566,begin_service
65,3695,arrival
65,3695,join_queue
66,3696,arrival
66,3696,balk
67,3714,arrival
67,3714,balk
37,3718,end_service
44,3718,begin_service
68,3762,arrival
68,3762,join_queue
69,3784,arrival
69,3784,balk
44,3812,end_service
48,3812,begin_service
70,3830,arrival
70,3830,join_queue
71,3847,arrival
71,3847,balk
72,3926,arrival
72,3926,balk
48,3987,end_service
49,3987,begin_service
73,3993,arrival
73,3993,join_queue
49,4047,end_service
53,4047,begin_service
53,4167,end_service
56,4167,begin_service
74,4195,arrival
74,4195,join_queue
75,4217,arrival
75,4217,join_queue
56,4227,end_service
57,4227,begin_service
57,4287,end_service
58,4287,begin_service
58,4347,end_service
60,4347,begin_service
76,4414,arrival
76,4414,join_queue
77,4505,arrival
77,4505,join_queue
78,4507,arrival
78,4507,join_queue
79,4520,arrival
79,4520,balk
80,4520,arrival
80,4520,balk
81,4540,arrival
81,4540,balk
82,4609,arrival
82,4609,balk
83,4616,arrival
83,4616,balk
84,4620,arrival
84,4620,balk
60,4647,end_service
63,4647,begin_service
63,4707,end_service
65,4707,begin_service
65,4767,end_service
68,4767,begin_service
85,4818,arrival
85,4818,join_queue
86,4819,arrival
86,4819,join_queue
68,4827,end_service
70,4827,begin_service
87,4859,arrival
87,4859,join_queue
88,4862,arrival
88,4862,join_queue
70,4887,end_service
73,4887,begin_service
89,4919,arrival
89,4919,join_queue
90,4954,arrival
90,4954,balk
91,4988,arrival
91,4988,balk
92,5025,arrival
92,5025,balk
73,5055,end_service
74,5055,begin_service
93,5087,arrival
93,5087,join_queue
74,5115,end_service
75,5115,begin_service
94,5144,arrival
94,5144,join_queue
75,5259,end_service
76,5259,begin_service
95,5313,arrival
95,5313,join_queue
96,5318,arrival
96,5318,balk
97,5326,arrival
97,5326,balk
98,5479,arrival
98,5479,balk
76,5559,end_service
77,5559,begin_service
77,5619,end_service
78,5619,begin_service
99,5670,arrival
99,5670,join_queue
100,5743,arrival
100,5743,join_queue
101,5753,arrival
101,5753,balk
102,5756,arrival
102,5756,balk
78,5762,end_service
85,5762,begin_service
103,5800,arrival
103,5800,join_queue
85,5822,end_service
86,5822,begin_service
86,5956,end_service
87,5956,begin_service
87,6052,end_service
88,6052,begin_service
104,6061,arrival
104,6061,join_queue
105,6068,arrival
105,6068,join_queue
106,6084,arrival
106,6084,join_queue
107,6085,arrival
107,6085,balk
108,6106,arrival
108,6106,balk
88,6191,end_service
89,6191,begin_service
109,6202,arrival
109,6202,join_queue
110,6233,arrival
110,6233,balk
111,6274,arrival
111,6274,balk
112,6285,arrival
112,6285,balk
113,6351,arrival
113,6351,balk
89,6360,end_service
93,6360,begin_service
114,6376,arrival
114,6376,join_queue
115,6376,arrival
115,6376,balk
116,6392,arrival
116,6392,balk
93,6427,end_service
94,6427,begin_service
117,6445,arrival
117,6445,join_queue
94,6487,end_service
95,6487,begin_service
118,6503,arrival
118,6503,join_queue
119,6513,arrival
119,6513,balk
120,6529,arrival
120,6529,balk
121,6553,arrival
121,6553,balk
122,6611,arrival
122,6611,balk
123,6648,arrival
123,6648,balk
124,6702,arrival
124,6702,balk
125,6748,arrival
125,6748,balk
126,6753,arrival
126,6753,balk
127,6769,arrival
127,6769,balk
95,6787,end_service
99,6787,begin_service
128,6844,arrival
128,6844,join_queue
99,6847,end_service
100,6847,begin_service
