caseid,time,activity
-1,0,null_start_simulation
-1,0,start_simulation
1,59,arrival
1,59,join_queue
1,59,begin_service
1,119,end_service
2,266,arrival
2,266,join_queue
2,266,begin_service
3,317,arrival
3,317,join_queue
2,328,end_service
3,328,begin_service
4,386,arrival
4,386,join_queue
5,433,arrival
5,433,join_queue
6,494,arrival
6,494,join_queue
7,520,arrival
7,520,join_queue
3,557,end_service
4,557,begin_service
4,741,end_service
5,741,begin_service
8,798,arrival
8,798,join_queue
5,801,end_service
6,801,begin_service
9,859,arrival
9,859,join_queue
6,861,end_service
7,861,begin_service
10,900,arrival
10,900,join_queue
7,1015,end_service
8,1015,begin_service
11,1050,arrival
11,1050,join_queue
12,1104,arrival
12,1104,join_queue
8,1127,end_service
9,1127,begin_service
9,1187,end_service
10,1187,begin_service
10,1247,end_service
11,1247,begin_service
13,1271,arrival
13,1271,join_queue
14,1280,arrival
14,1280,join_queue
11,1307,end_service
12,1307,begin_service
15,1348,arrival
15,1348,join_queue
12,1367,end_service
13,1367,begin_service
16,1416,arrival
16,1416,join_queue
13,1427,end_service
14,1427,begin_service
17,1442,arrival
17,1442,join_queue
18,1443,arrival
18,1443,join_queue
19,1446,arrival
19,1446,join_queue
20,1464,arrival
20,1464,join_queue
21,1514,arrival
21,1514,join_queue
14,1515,end_service
15,1515,begin_service
22,1641,arrival
22,1641,join_queue
23,1674,arrival
23,1674,join_queue
15,1684,end_service
16,1684,begin_service
24,1705,arrival
24,1705,join_queue
16,1744,end_service
17,1744,begin_service
25,1885,arrival
25,1885,join_queue
26,1934,arrival
26,1934,join_queue
27,1934,arrival
27,1934,join_queue
28,1969,arrival
28,1969,balk
17,1982,end_service
18,1982,begin_service
29,2022,arrival
29,2022,join_queue
18,2090,end_service
19,2090,begin_service
30,2252,arrival
30,2252,join_queue
19,2271,end_service
20,2271,begin_service
31,2325,arrival
31,2325,join_queue
20,2331,end_service
21,2331,begin_service
32,2379,arrival
32,2379,join_queue
21,2397,end_service
22,2397,begin_service
33,2424,arrival
33,2424,join_queue
34,2458,arrival
34,2458,balk
35,2505,arrival
35,2505,balk
36,2520,arrival
36,2520,balk
37,2527,arrival
37,2527,balk
38,2585,arrival
38,2585,balk
39,2585,arrival
39,2585,balk
40,2598,arrival
40,2598,balk
41,2683,arrival
41,2683,balk
22,2697,end_service
23,2697,begin_service
42,2700,arrival
42,2700,join_queue
23,2773,end_service
24,2773,begin_service
43,2826,arrival
43,2826,join_queue
44,2865,arrival
44,2865,balk
24,2913,end_service
25,2913,begin_service
45,2937,arrival
45,2937,join_queue
46,2941,arrival
46,2941,balk
47,2971,arrival
47,2971,balk
25,2976,end_service
26,2976,begin_service
48,2982,arrival
48,2982,join_queue
26,3036,end_service
27,3036,begin_service
27,3096,end_service
29,3096,begin_service
49,3128,arrival
49,3128,join_queue
50,3143,arrival
50,3143,join_queue
51,3145,arrival
51,3145,balk
52,3149,arrival
52,3149,balk
53,3175,arrival
53,3175,balk
54,3266,arrival
54,3266,balk
29,3295,end_service
30,3295,begin_service
55,3356,arrival
55,3356,join_queue
30,3369,end_service
31,3369,begin_service
56,3399,arrival
56,3399,join_queue
31,3429,end_service
32,3429,begin_service
57,3439,arrival
57,3439,join_queue
58,3445,arrival
58,3445,balk
59,3457,arrival
59,3457,balk
60,3474,arrival
60,3474,balk
32,3489,end_service
33,3489,begin_service
61,3493,arrival
61,3493,join_queue
62,3507,arrival
62,3507,balk
63,3513,arrival
63,3513,balk
64,3542,arrival
64,3542,balk
33,3549,end_service
42,3549,begin_service
42,3609,end_service
43,3609,begin_service
65,3682,arrival
65,3682,join_queue
43,3808,end_service
45,3808,begin_service
66,3857,arrival
66,3857,join_queue
67,3916,arrival
67,3916,join_queue
45,3923,end_service
48,3923,begin_service
68,3928,arrival
68,3928,join_queue
69,3948,arrival
69,3948,balk
48,3988,end_service
49,3988,begin_service
70,3994,arrival
70,3994,join_queue
71,4047,arrival
71,4047,balk
72,4164,arrival
72,4164,balk
73,4176,arrival
73,4176,balk
49,4251,end_service
50,4251,begin_service
50,4375,end_service
55,4375,begin_service
74,4459,arrival
74,4459,join_queue
55,4513,end_service
56,4513,begin_service
75,4573,arrival
75,4573,join_queue
56,4585,end_service
57,4585,begin_service
76,4600,arrival
76,4600,join_queue
77,4639,arrival
77,4639,join_queue
57,4645,end_service
61,4645,begin_service
78,4698,arrival
78,4698,join_queue
79,4701,arrival
79,4701,balk
61,4724,end_service
65,4724,begin_service
65,4784,end_service
66,4784,begin_service
80,4793,arrival
80,4793,join_queue
81,4861,arrival
81,4861,join_queue
82,4880,arrival
82,4880,balk
83,4943,arrival
83,4943,balk
84,4949,arrival
84,4949,balk
85,4958,arrival
85,4958,balk
86,4962,arrival
86,4962,balk
66,4982,end_service
67,4982,begin_service
87,4993,arrival
87,4993,join_queue
67,5105,end_service
68,5105,begin_service
88,5143,arrival
88,5143,join_queue
68,5165,end_service
70,5165,begin_service
89,5198,arrival
89,5198,join_queue
90,5340,arrival
90,5340,balk
70,5341,end_service
74,5341,begin_service
91,5346,arrival
91,5346,join_queue
92,5357,arrival
92,5357,balk
93,5360,arrival
93,5360,balk
94,5372,arrival
94,5372,balk
95,5373,arrival
95,5373,balk
74,5401,end_service
75,5401,begin_service
96,5449,arrival
96,5449,join_queue
75,5461,end_service
76,5461,begin_service
76,5525,end_service
77,5525,begin_service
97,5538,arrival
97,5538,join_queue
98,5544,arrival
98,5544,join_queue
99,5630,arrival
99,5630,balk
100,5707,arrival
100,5707,balk
101,5747,arrival
101,5747,balk
102,5753,arrival
102,5753,balk
77,5825,end_service
78,5825,begin_service
78,5907,end_service
80,5907,begin_service
80,5979,end_service
81,5979,begin_service
81,6079,end_service
87,6079,begin_service
103,6084,arrival
103,6084,join_queue
104,6110,arrival
104,6110,join_queue
105,6160,arrival
105,6160,join_queue
106,6207,arrival
106,6207,join_queue
87,6276,end_service
88,6276,begin_service
107,6328,arrival
107,6328,join_queue
108,6380,arrival
108,6380,balk
109,6390,arrival
109,6390,balk
88,6478,end_service
89,6478,begin_service
110,6503,arrival
110,6503,join_queue
89,6538,end_service
91,6538,begin_service
111,6560,arrival
111,6560,join_queue
91,6598,end_service
96,6598,begin_service
96,6658,end_service
97,6658,begin_service
112,6708,arrival
112,6708,join_queue
113,6775,arrival
113,6775,join_queue
97,6804,end_service
98,6804,begin_service
98,6891,end_service
103,6891,begin_service
103,6951,end_service
