caseid,time,activity
-1,0,null_start_simulation
-1,0,start_simulation
1,106,arrival
1,106,join_queue
1,106,begin_service
2,138,arrival
2,138,join_queue
1,166,end_service
2,166,begin_service
3,190,arrival
3,190,join_queue
4,192,arrival
4,192,join_queue
5,201,arrival
5,201,join_queue
6,229,arrival
6,229,join_queue
2,259,end_service
3,259,begin_service
7,284,arrival
7,284,join_queue
3,346,end_service
4,346,begin_service
8,365,arrival
8,365,join_queue
4,437,end_service
5,437,begin_service
9,513,arrival
9,513,join_queue
10,534,arrival
10,534,join_queue
11,568,arrival
11,568,join_queue
5,619,end_service
6,619,begin_service
12,636,arrival
12,636,join_queue
13,685,arrival
13,685,join_queue
6,701,end_service
7,701,begin_service
7,789,end_service
8,789,begin_service
8,849,end_service
9,849,begin_service
9,909,end_service
10,909,begin_service
10,1042,end_service
11,1042,begin_service
11,1102,end_service
12,1102,begin_service
14,1159,arrival
14,1159,join_queue
15,1164,arrival
15,1164,join_queue
16,1182,arrival
16,1182,join_queue
17,1273,arrival
17,1273,join_queue
12,1288,end_service
13,1288,begin_service
13,1348,end_service
14,1348,begin_service
18,1370,arrival
18,1370,join_queue
19,1419,arrival
19,1419,join_queue
14,1435,end_service
15,1435,begin_service
20,1453,arrival
20,1453,join_queue
15,1495,end_service
16,1495,begin_service
16,1555,end_service
17,1555,begin_service
21,1630,arrival
21,1630,join_queue
17,1632,end_service
18,1632,begin_service
22,1675,arrival
22,1675,join_queue
23,1679,arrival
23,1679,join_queue
24,1695,arrival
24,1695,join_queue
25,1700,arrival
25,1700,join_queue
26,1768,arrival
26,1768,join_queue
18,1791,end_service
19,1791,begin_service
27,1891,arrival
27,1891,join_queue
28,1928,arrival
28,1928,join_queue
19,1951,end_service
20,1951,begin_service
29,1969,arrival
29,1969,join_queue
30,1982,arrival
30,1982,join_queue
31,2007,arrival
31,2007,balk
32,2014,arrival
32,2014,balk
33,2069,arrival
33,2069,balk
20,2108,end_service
21,2108,begin_service
34,2137,arrival
34,2137,join_queue
35,2144,arrival
35,2144,balk
36,2153,arrival
36,2153,balk
21,2168,end_service
22,2168,begin_service
37,2174,arrival
37,2174,join_queue
22,2228,end_service
23,2228,begin_service
38,2243,arrival
38,2243,join_queue
39,2264,arrival
39,2264,balk
23,2288,end_service
24,2288,begin_service
40,2310,arrival
40,2310,join_queue
41,2356,arrival
41,2356,balk
42,2359,arrival
42,2359,balk
24,2482,end_service
25,2482,begin_service
43,2491,arrival
43,2491,join_queue
25,2542,end_service
26,2542,begin_service
44,2582,arrival
44,2582,join_queue
45,2640,arrival
45,2640,balk
46,2668,arrival
46,2668,balk
26,2687,end_service
27,2687,begin_service
27,2747,end_service
28,2747,begin_service
47,2795,arrival
47,2795,join_queue
48,2801,arrival
48,2801,join_queue
28,2814,end_service
29,2814,begin_service
49,3018,arrival
49,3018,join_queue
50,3049,arrival
50,3049,balk
29,3114,end_service
30,3114,begin_service
30,3174,end_service
34,3174,begin_service
51,3320,arrival
51,3320,join_queue
52,3374,arrival
52,3374,join_queue
53,3445,arrival
53,3445,balk
34,3463,end_service
37,3463,begin_service
37,3559,end_service
38,3559,begin_service
54,3623,arrival
54,3623,join_queue
55,3629,arrival
55,3629,join_queue
56,3633,arrival
56,3633,balk
57,3760,arrival
57,3760,balk
58,3769,arrival
58,3769,balk
38,3777,end_service
40,3777,begin_service
59,3798,arrival
59,3798,join_queue
60,3830,arrival
60,3830,balk
40,3837,end_service
43,3837,begin_service
61,3871,arrival
61,3871,join_queue
43,3926,end_service
62,3926,arrival
62,3926,balk
44,3926,begin_service
63,3963,arrival
63,3963,join_queue
64,4000,arrival
64,4000,balk
44,4016,end_service
47,4016,begin_service
47,4084,end_service
48,4084,begin_service
65,4122,arrival
65,4122,join_queue
66,4147,arrival
66,4147,join_queue
67,4161,arrival
67,4161,balk
68,4192,arrival
68,4192,balk
69,4223,arrival
69,4223,balk
48,4235,end_service
49,4235,begin_service
70,4238,arrival
70,4238,join_queue
71,4262,arrival
71,4262,balk
49,4295,end_service
51,4295,begin_service
72,4369,arrival
72,4369,join_queue
73,4489,arrival
73,4489,balk
51,4494,end_service
52,4494,begin_service
74,4538,arrival
74,4538,join_queue
52,4554,end_service
54,4554,begin_service
75,4563,arrival
75,4563,join_queue
76,4572,arrival
76,4572,balk
77,4670,arrival
77,4670,balk
78,4766,arrival
78,4766,balk
79,4791,arrival
79,4791,balk
54,4854,end_service
55,4854,begin_service
80,4881,arrival
80,4881,join_queue
55,4924,end_service
59,4924,begin_service
59,4984,end_service
61,4984,begin_service
81,5107,arrival
81,5107,join_queue
82,5107,arrival
82,5107,join_queue
61,5212,end_service
63,5212,begin_service
83,5249,arrival
83,5249,join_queue
84,5284,arrival
84,5284,balk
63,5289,end_service
65,5289,begin_service
85,5294,arrival
85,5294,join_queue
86,5331,arrival
86,5331,balk
87,5336,arrival
87,5336,balk
88,5338,arrival
88,5338,balk
89,5371,arrival
89,5371,balk
90,5385,arrival
90,5385,balk
91,5436,arrival
91,5436,balk
92,5471,arrival
92,5471,balk
93,5536,arrival
93,5536,balk
65,5550,end_service
66,5550,begin_service
66,5610,end_service
70,5610,begin_service
94,5667,arrival
94,5667,join_queue
70,5670,end_service
72,5670,begin_service
95,5722,arrival
95,5722,join_queue
72,5730,end_service
74,5730,begin_service
96,5733,arrival
96,5733,join_queue
97,5751,arrival
97,5751,join_queue
98,5765,arrival
98,5765,balk
74,5790,end_service
75,5790,begin_service
99,5791,arrival
99,5791,join_queue
100,5820,arrival
100,5820,balk
101,5858,arrival
101,5858,balk
75,5893,end_service
80,5893,begin_service
80,5997,end_service
81,5997,begin_service
102,6009,arrival
102,6009,join_queue
103,6028,arrival
103,6028,join_queue
81,6057,end_service
82,6057,begin_service
104,6064,arrival
104,6064,join_queue
105,6088,arrival
105,6088,balk
106,6107,arrival
106,6107,balk
107,6138,arrival
107,6138,balk
108,6277,arrival
108,6277,balk
109,6283,arrival
109,6283,balk
82,6308,end_service
83,6308,begin_service
110,6336,arrival
110,6336,join_queue
111,6387,arrival
111,6387,balk
112,6495,arrival
112,6495,balk
113,6504,arrival
113,6504,balk
114,6525,arrival
114,6525,balk
115,6544,arrival
115,6544,balk
116,6602,arrival
116,6602,balk
83,6608,end_service
85,6608,begin_service
117,6632,arrival
117,6632,join_queue
118,6658,arrival
118,6658,balk
119,6748,arrival
119,6748,balk
85,6752,end_service
94,6752,begin_service
