caseid,time,activity
-1,0,null_start_simulation
-1,0,start_simulation
1,52,arrival
1,52,join_queue
1,52,begin_service
2,69,arrival
2,69,join_queue
3,158,arrival
3,158,join_queue
4,180,arrival
4,180,join_queue
5,218,arrival
5,218,join_queue
1,222,end_service
2,222,begin_service
6,242,arrival
6,242,join_queue
2,282,end_service
3,282,begin_service
3,342,end_service
4,342,begin_service
7,379,arrival
7,379,join_queue
8,458,arrival
8,458,join_queue
9,498,arrival
9,498,join_queue
10,517,arrival
10,517,join_queue
4,584,end_service
5,584,begin_service
11,590,arrival
11,590,join_queue
5,644,end_service
6,644,begin_service
12,709,arrival
12,709,join_queue
13,773,arrival
13,773,join_queue
14,820,arrival
14,820,join_queue
15,868,arrival
15,868,join_queue
6,944,end_service
7,944,begin_service
7,1028,end_service
8,1028,begin_service
16,1089,arrival
16,1089,join_queue
17,1124,arrival
17,1124,join_queue
18,1135,arrival
18,1135,join_queue
8,1198,end_service
9,1198,begin_service
19,1204,arrival
19,1204,join_queue
20,1217,arrival
20,1217,balk
9,1277,end_service
10,1277,begin_service
21,1325,arrival
21,1325,join_queue
10,1337,end_service
11,1337,begin_service
22,1364,arrival
22,1364,join_queue
11,1397,end_service
12,1397,begin_service
23,1429,arrival
23,1429,join_queue
12,1457,end_service
13,1457,begin_service
24,1494,arrival
24,1494,join_queue
25,1509,arrival
25,1509,balk
13,1517,end_service
14,1517,begin_service
26,1554,arrival
26,1554,join_queue
27,1678,arrival
27,1678,balk
28,1709,arrival
28,1709,balk
14,1718,end_service
15,1718,begin_service
29,1720,arrival
29,1720,join_queue
30,1750,arrival
30,1750,balk
15,1780,end_service
16,1780,begin_service
31,1811,arrival
31,1811,join_queue
32,1961,arrival
32,1961,balk
16,1963,end_service
17,1963,begin_service
33,1977,arrival
33,1977,join_queue
34,2004,arrival
34,2004,balk
35,2038,arrival
35,2038,balk
17,2112,end_service
18,2112,begin_service
36,2145,arrival
36,2145,join_queue
18,2172,end_service
19,2172,begin_service
19,2232,end_service
21,2232,begin_service
37,2269,arrival
37,2269,join_queue
38,2316,arrival
38,2316,join_queue
39,2322,arrival
39,2322,balk
21,2471,end_service
22,2471,begin_service
40,2507,arrival
40,2507,join_queue
41,2550,arrival
41,2550,balk
42,2566,arrival
42,2566,balk
43,2671,arrival
43,2671,balk
44,2726,arrival
44,2726,balk
22,2771,end_service
45,2771,arrival
45,2771,balk
23,2771,begin_service
23,2839,end_service
24,2839,begin_service
46,2863,arrival
46,2863,join_queue
47,2897,arrival
47,2897,join_queue
48,2898,arrival
48,2898,balk
49,2949,arrival
49,2949,balk
50,2977,arrival
50,2977,balk
51,3014,arrival
51,3014,balk
52,3038,arrival
52,3038,balk
53,3045,arrival
53,3045,balk
24,3052,end_service
26,3052,begin_service
26,3112,end_service
29,3112,begin_service
29,3270,end_service
31,3270,begin_service
31,3330,end_service
33,3330,begin_service
54,3361,arrival
54,3361,join_queue
33,3390,end_service
36,3390,begin_service
55,3404,arrival
55,3404,join_queue
56,3409,arrival
56,3409,join_queue
57,3499,arrival
57,3499,join_queue
58,3571,arrival
58,3571,join_queue
59,3601,arrival
59,3601,balk
60,3615,arrival
60,3615,balk
36,3690,end_service
37,3690,begin_service
61,3753,arrival
61,3753,join_queue
62,3768,arrival
62,3768,balk
63,3842,arrival
63,3842,balk
64,3868,arrival
64,3868,balk
37,3932,end_service
38,3932,begin_service
65,3958,arrival
65,3958,join_queue
66,3962,arrival
66,3962,balk
67,3984,arrival
67,3984,balk
38,4028,end_service
40,4028,begin_service
68,4052,arrival
68,4052,join_queue
69,4115,arrival
69,4115,balk
70,4137,arrival
70,4137,balk
71,4215,arrival
71,4215,balk
72,4264,arrival
72,4264,balk
40,4328,end_service
46,4328,begin_service
73,4383,arrival
73,4383,join_queue
46,4388,end_service
47,4388,begin_service
74,4584,arrival
74,4584,join_queue
75,4599,arrival
75,4599,balk
47,4637,end_service
54,4637,begin_service
76,4658,arrival
76,4658,join_queue
77,4840,arrival
77,4840,balk
54,4860,end_service
55,4860,begin_service
78,4863,arrival
78,4863,join_queue
79,4898,arrival
79,4898,balk
55,5040,end_service
56,5040,begin_service
80,5068,arrival
80,5068,join_queue
81,5109,arrival
81,5109,balk
82,5146,arrival
82,5146,balk
56,5171,end_service
57,5171,begin_service
57,5231,end_service
58,5231,begin_service
83,5350,arrival
83,5350,join_queue
84,5387,arrival
84,5387,join_queue
85,5414,arrival
85,5414,balk
58,5423,end_service
61,5423,begin_service
61,5490,end_service
65,5490,begin_service
86,5502,arrival
86,5502,join_queue
87,5526,arrival
87,5526,join_queue
88,5558,arrival
88,5558,balk
65,5574,end_service
68,5574,begin_service
89,5593,arrival
89,5593,join_queue
90,5638,arrival
90,5638,balk
91,5674,arrival
91,5674,balk
68,5717,end_service
73,5717,begin_service
73,5777,end_service
74,5777,begin_service
74,5837,end_service
76,5837,begin_service
92,5898,arrival
92,5898,join_queue
93,5940,arrival
93,5940,join_queue
94,6054,arrival
94,6054,join_queue
76,6137,end_service
78,6137,begin_service
95,6236,arrival
95,6236,join_queue
96,6265,arrival
96,6265,balk
97,6284,arrival
97,6284,balk
98,6296,arrival
98,6296,balk
99,6310,arrival
99,6310,balk
100,6324,arrival
100,6324,balk
78,6327,end_service
80,6327,begin_service
101,6347,arrival
101,6347,join_queue
102,6402,arrival
102,6402,balk
103,6428,arrival
103,6428,balk
104,6457,arrival
104,6457,balk
105,6554,arrival
105,6554,balk
106,6588,arrival
106,6588,balk
80,6595,end_service
83,6595,begin_service
107,6692,arrival
107,6692,join_queue
108,6771,arrival
108,6771,balk
109,6788,arrival
109,6788,balk
83,6795,end_service
84,6795,begin_service
110,6825,arrival
110,6825,join_queue
111,6983,arrival
111,6983,balk
84,6991,end_service
86,6991,begin_service
112,7007,arrival
112,7007,join_queue
113,7016,arrival
113,7016,balk
114,7021,arrival
114,7021,balk
115,7059,arrival
115,7059,balk
116,7082,arrival
116,7082,balk
117,7137,arrival
117,7137,balk
118,7197,arrival
118,7197,balk
119,7224,arrival
119,7224,balk
120,7224,arrival
120,7224,balk
86,7240,end_service
87,7240,begin_service
121,7250,arrival
121,7250,join_queue
122,7251,arrival
122,7251,balk
123,7278,arrival
123,7278,balk
124,7303,arrival
124,7303,balk
125,7387,arrival
125,7387,balk
87,7420,end_service
89,7420,begin_service
126,7604,arrival
126,7604,join_queue
127,7650,arrival
127,7650,balk
