caseid,time,activity
-1,0,null_start_simulation
-1,0,start_simulation
1,19,arrival
1,19,join_queue
1,19,begin_service
1,125,end_service
2,159,arrival
2,159,join_queue
2,159,begin_service
2,219,end_service
3,326,arrival
3,326,join_queue
3,326,begin_service
4,373,arrival
4,373,join_queue
5,378,arrival
5,378,join_queue
3,386,end_service
4,386,begin_service
6,442,arrival
6,442,join_queue
7,450,arrival
7,450,join_queue
8,498,arrival
8,498,join_queue
9,521,arrival
9,521,join_queue
4,579,end_service
5,579,begin_service
10,611,arrival
10,611,join_queue
11,626,arrival
11,626,join_queue
12,708,arrival
12,708,join_queue
5,724,end_service
6,724,begin_service
13,797,arrival
13,797,join_queue
6,826,end_service
7,826,begin_service
14,846,arrival
14,846,join_queue
15,895,arrival
15,895,join_queue
16,969,arrival
16,969,join_queue
17,991,arrival
17,991,join_queue
7,1061,end_service
8,1061,begin_service
8,1131,end_service
9,1131,begin_service
9,1191,end_service
10,1191,begin_service
18,1238,arrival
18,1238,join_queue
19,1294,arrival
19,1294,join_queue
20,1303,arrival
20,1303,join_queue
10,1361,end_service
11,1361,begin_service
21,1386,arrival
21,1386,join_queue
22,1428,arrival
22,1428,balk
11,1444,end_service
12,1444,begin_service
12,1504,end_service
13,1504,begin_service
13,1564,end_service
14,1564,begin_service
23,1676,arrival
23,1676,join_queue
14,1735,end_service
15,1735,begin_service
24,1738,arrival
24,1738,join_queue
25,1834,arrival
25,1834,join_queue
26,1935,arrival
26,1935,join_queue
27,1965,arrival
27,1965,balk
28,1990,arrival
28,1990,balk
29,2020,arrival
29,2020,balk
15,2031,end_service
16,2031,begin_service
30,2034,arrival
30,2034,join_queue
16,2095,end_service
17,2095,begin_service
31,2110,arrival
31,2110,join_queue
32,2114,arrival
32,2114,balk
33,2155,arrival
33,2155,balk
34,2189,arrival
34,2189,balk
35,2190,arrival
35,2190,balk
17,2195,end_service
18,2195,begin_service
18,2255,end_service
19,2255,begin_service
36,2281,arrival
36,2281,join_queue
37,2299,arrival
37,2299,join_queue
38,2314,arrival
38,2314,balk
39,2323,arrival
39,2323,balk
40,2331,arrival
40,2331,balk
41,2335,arrival
41,2335,balk
42,2418,arrival
42,2418,balk
43,2497,arrival
43,2497,balk
44,2508,arrival
44,2508,balk
19,2555,end_service
20,2555,begin_service
45,2571,arrival
45,2571,join_queue
46,2641,arrival
46,2641,balk
20,2714,end_service
21,2714,begin_service
47,2731,arrival
47,2731,join_queue
48,2768,arrival
48,2768,balk
21,2774,end_service
23,2774,begin_service
49,2784,arrival
49,2784,join_queue
50,2787,arrival
50,2787,balk
51,2865,arrival
51,2865,balk
52,2875,arrival
52,2875,balk
23,2898,end_service
24,2898,begin_service
53,2976,arrival
53,2976,join_queue
24,2987,end_service
25,2987,begin_service
54,3009,arrival
54,3009,join_queue
25,3047,end_service
26,3047,begin_service
55,3050,arrival
55,3050,join_queue
56,3065,arrival
56,3065,balk
57,3074,arrival
57,3074,balk
58,3082,arrival
58,3082,balk
59,3165,arrival
59,3165,balk
60,3167,arrival
60,3167,balk
61,3167,arrival
61,3167,balk
62,3197,arrival
62,3197,balk
63,3293,arrival
63,3293,balk
26,3347,end_service
30,3347,begin_service
30,3410,end_service
31,3410,begin_service
64,3498,arrival
64,3498,join_queue
65,3526,arrival
65,3526,join_queue
66,3535,arrival
66,3535,balk
67,3535,arrival
67,3535,balk
68,3557,arrival
68,3557,balk
69,3608,arrival
69,3608,balk
70,3610,arrival
70,3610,balk
31,3680,end_service
36,3680,begin_service
71,3687,arrival
71,3687,join_queue
72,3688,arrival
72,3688,balk
36,3740,end_service
37,3740,begin_service
73,3761,arrival
73,3761,join_queue
74,3775,arrival
74,3775,balk
75,3797,arrival
75,3797,balk
37,3823,end_service
45,3823,begin_service
76,3883,arrival
45,3883,end_service
76,3883,join_queue
47,3883,begin_service
47,3943,end_service
49,3943,begin_service
77,4007,arrival
77,4007,join_queue
78,4015,arrival
78,4015,join_queue
49,4160,end_service
53,4160,begin_service
79,4186,arrival
79,4186,join_queue
80,4190,arrival
80,4190,balk
81,4215,arrival
81,4215,balk
53,4220,end_service
54,4220,begin_service
54,4280,end_service
55,4280,begin_service
55,4340,end_service
64,4340,begin_service
82,4423,arrival
82,4423,join_queue
64,4425,end_service
65,4425,begin_service
83,4455,arrival
83,4455,join_queue
84,4476,arrival
84,4476,join_queue
85,4610,arrival
85,4610,join_queue
86,4620,arrival
86,4620,balk
87,4691,arrival
87,4691,balk
65,4725,end_service
71,4725,begin_service
88,4764,arrival
88,4764,join_queue
89,4811,arrival
89,4811,balk
90,4855,arrival
90,4855,balk
71,4871,end_service
73,4871,begin_service
91,4899,arrival
91,4899,join_queue
73,4938,end_service
76,4938,begin_service
92,4964,arrival
92,4964,join_queue
76,4998,end_service
77,4998,begin_service
93,5131,arrival
93,5131,join_queue
77,5175,end_service
78,5175,begin_service
94,5189,arrival
94,5189,join_queue
95,5191,arrival
95,5191,balk
96,5207,arrival
96,5207,balk
97,5217,arrival
97,5217,balk
98,5228,arrival
98,5228,balk
78,5238,end_service
79,5238,begin_service
79,5298,end_service
82,5298,begin_service
99,5318,arrival
99,5318,join_queue
82,5364,end_service
83,5364,begin_service
100,5396,arrival
100,5396,join_queue
101,5416,arrival
101,5416,join_queue
102,5443,arrival
102,5443,balk
103,5455,arrival
103,5455,balk
104,5460,arrival
104,5460,balk
105,5470,arrival
105,5470,balk
106,5470,arrival
106,5470,balk
83,5534,end_service
84,5534,begin_service
84,5632,end_service
85,5632,begin_service
107,5762,arrival
107,5762,join_queue
108,5793,arrival
108,5793,join_queue
109,5794,arrival
109,5794,balk
110,5889,arrival
110,5889,balk
111,5919,arrival
111,5919,balk
85,5932,end_service
88,5932,begin_service
112,6126,arrival
112,6126,join_queue
113,6227,arrival
113,6227,balk
88,6232,end_service
91,6232,begin_service
114,6249,arrival
114,6249,join_queue
115,6281,arrival
115,6281,balk
116,6302,arrival
116,6302,balk
117,6303,arrival
117,6303,balk
118,6309,arrival
118,6309,balk
119,6327,arrival
119,6327,balk
91,6359,end_service
92,6359,begin_service
92,6500,end_service
93,6500,begin_service
120,6546,arrival
120,6546,join_queue
93,6560,end_service
94,6560,begin_service
94,6620,end_service
99,6620,begin_service
121,6658,arrival
121,6658,join_queue
122,6661,arrival
122,6661,join_queue
123,6715,arrival
123,6715,join_queue
124,6738,arrival
124,6738,balk
99,6787,end_service
100,6787,begin_service
