caseid,time,activity
-1,0,null_start_simulation
-1,0,start_simulation
1,7,arrival
1,7,join_queue
1,7,begin_service
2,13,arrival
2,13,join_queue
1,148,end_service
2,148,begin_service
3,158,arrival
3,158,join_queue
4,163,arrival
4,163,join_queue
5,200,arrival
5,200,join_queue
2,237,end_service
3,237,begin_service
6,248,arrival
6,248,join_queue
7,269,arrival
7,269,join_queue
3,374,end_service
4,374,begin_service
8,388,arrival
8,388,join_queue
9,445,arrival
9,445,join_queue
10,467,arrival
10,467,join_queue
11,478,arrival
11,478,join_queue
12,487,arrival
12,487,join_queue
13,578,arrival
13,578,join_queue
14,590,arrival
14,590,join_queue
4,595,end_service
5,595,begin_service
15,600,arrival
15,600,join_queue
16,603,arrival
16,603,balk
17,648,arrival
17,648,balk
5,655,end_service
6,655,begin_service
18,673,arrival
18,673,join_queue
19,707,arrival
19,707,balk
6,715,end_service
7,715,begin_service
20,721,arrival
20,721,join_queue
7,775,end_service
8,775,begin_service
8,868,end_service
9,868,begin_service
21,882,arrival
21,882,join_queue
22,913,arrival
22,913,join_queue
23,919,arrival
23,919,balk
24,928,arrival
24,928,balk
25,1105,arrival
25,1105,balk
26,1105,arrival
26,1105,balk
27,1112,arrival
27,1112,balk
28,1154,arrival
28,1154,balk
9,1168,end_service
10,1168,begin_service
10,1228,end_service
11,1228,begin_service
29,1309,arrival
29,1309,join_queue
30,1337,arrival
30,1337,join_queue
31,1494,arrival
31,1494,balk
32,1495,arrival
32,1495,balk
11,1528,end_service
12,1528,begin_service
33,1549,arrival
33,1549,join_queue
34,1569,arrival
34,1569,balk
12,1619,end_service
13,1619,begin_service
13,1679,end_service
14,1679,begin_service
14,1739,end_service
15,1739,begin_service
35,1754,arrival
35,1754,join_queue
36,1840,arrival
36,1840,join_queue
37,1886,arrival
37,1886,join_queue
15,1908,end_service
18,1908,begin_service
38,1941,arrival
38,1941,join_queue
18,1968,end_service
20,1968,begin_service
39,2023,arrival
39,2023,join_queue
40,2076,arrival
40,2076,balk
41,2079,arrival
41,2079,balk
42,2139,arrival
42,2139,balk
43,2150,arrival
43,2150,balk
44,2183,arrival
44,2183,balk
20,2202,end_service
21,2202,begin_service
21,2262,end_service
22,2262,begin_service
22,2342,end_service
29,2342,begin_service
29,2402,end_service
30,2402,begin_service
45,2425,arrival
45,2425,join_queue
30,2464,end_service
33,2464,begin_service
46,2485,arrival
46,2485,join_queue
47,2489,arrival
47,2489,join_queue
33,2524,end_service
35,2524,begin_service
48,2563,arrival
48,2563,join_queue
35,2584,end_service
36,2584,begin_service
49,2607,arrival
49,2607,join_queue
50,2687,arrival
50,2687,join_queue
51,2691,arrival
51,2691,join_queue
52,2735,arrival
52,2735,balk
53,2792,arrival
53,2792,balk
36,2884,end_service
37,2884,begin_service
37,2944,end_service
38,2944,begin_service
54,2983,arrival
54,2983,join_queue
38,3004,end_service
39,3004,begin_service
55,3067,arrival
55,3067,join_queue
39,3088,end_service
45,3088,begin_service
45,3184,end_service
46,3184,begin_service
46,3244,end_service
47,3244,begin_service
56,3274,arrival
56,3274,join_queue
47,3304,end_service
48,3304,begin_service
57,3330,arrival
57,3330,join_queue
48,3376,end_service
49,3376,begin_service
58,3381,arrival
58,3381,join_queue
59,3381,arrival
59,3381,join_queue
49,3436,end_service
50,3436,begin_service
60,3439,arrival
60,3439,join_queue
50,3556,end_service
51,3556,begin_service
61,3575,arrival
61,3575,join_queue
51,3634,end_service
54,3634,begin_service
62,3670,arrival
62,3670,join_queue
54,3694,end_service
55,3694,begin_service
63,3717,arrival
63,3717,join_queue
64,3772,arrival
64,3772,join_queue
55,3897,end_service
56,3897,begin_service
56,3957,end_service
57,3957,begin_service
65,3992,arrival
65,3992,join_queue
66,4089,arrival
66,4089,join_queue
67,4100,arrival
67,4100,join_queue
57,4144,end_service
58,4144,begin_service
58,4204,end_service
59,4204,begin_service
68,4264,arrival
59,4264,end_service
68,4264,join_queue
60,4264,begin_service
69,4279,arrival
69,4279,join_queue
60,4324,end_service
61,4324,begin_service
61,4384,end_service
62,4384,begin_service
70,4390,arrival
70,4390,join_queue
62,4483,end_service
63,4483,begin_service
71,4494,arrival
71,4494,join_queue
72,4498,arrival
72,4498,join_queue
73,4635,arrival
73,4635,join_queue
74,4693,arrival
74,4693,balk
75,4756,arrival
75,4756,balk
63,4783,end_service
64,4783,begin_service
76,4869,arrival
76,4869,join_queue
77,4892,arrival
77,4892,balk
64,4899,end_service
65,4899,begin_service
65,4959,end_service
66,4959,begin_service
78,5011,arrival
78,5011,join_queue
66,5019,end_service
67,5019,begin_service
67,5079,end_service
68,5079,begin_service
79,5171,arrival
79,5171,join_queue
68,5185,end_service
69,5185,begin_service
69,5245,end_service
70,5245,begin_service
70,5522,end_service
71,5522,begin_service
71,5582,end_service
72,5582,begin_service
80,5587,arrival
80,5587,join_queue
81,5599,arrival
81,5599,join_queue
82,5614,arrival
82,5614,join_queue
83,5643,arrival
83,5643,join_queue
72,5688,end_service
73,5688,begin_service
84,5727,arrival
84,5727,join_queue
85,5796,arrival
85,5796,join_queue
86,5852,arrival
86,5852,join_queue
73,5866,end_service
76,5866,begin_service
76,5955,end_service
78,5955,begin_service
87,6015,arrival
78,6015,end_service
87,6015,join_queue
79,6015,begin_service
88,6042,arrival
88,6042,join_queue
89,6182,arrival
89,6182,join_queue
90,6213,arrival
90,6213,balk
79,6315,end_service
80,6315,begin_service
91,6339,arrival
91,6339,join_queue
80,6445,end_service
81,6445,begin_service
92,6455,arrival
92,6455,join_queue
93,6480,arrival
93,6480,balk
94,6492,arrival
94,6492,balk
95,6504,arrival
95,6504,balk
96,6573,arrival
96,6573,balk
97,6668,arrival
97,6668,balk
81,6681,end_service
82,6681,begin_service
98,6689,arrival
98,6689,join_queue
99,6703,arrival
99,6703,balk
82,6741,end_service
83,6741,begin_service
83,6801,end_service
84,6801,begin_service
100,6825,arrival
100,6825,join_queue
101,6827,arrival
101,6827,join_queue
102,6837,arrival
102,6837,balk
84,6861,end_service
85,6861,begin_service
85,6921,end_service
86,6921,begin_service
103,6949,arrival
103,6949,join_queue
104,6973,arrival
104,6973,join_queue
86,6981,end_service
87,6981,begin_service
105,7032,arrival
105,7032,join_queue
87,7041,end_service
88,7041,begin_service
88,7192,end_service
89,7192,begin_service
106,7311,arrival
106,7311,join_queue
107,7340,arrival
107,7340,join_queue
89,7343,end_service
91,7343,begin_service
108,7375,arrival
