caseid,time,activity
-1,0,null_start_simulation
-1,0,start_simulation
1,16,arrival
1,16,join_queue
1,16,begin_service
2,62,arrival
2,62,join_queue
1,76,end_service
2,76,begin_service
3,83,arrival
3,83,join_queue
4,99,arrival
4,99,join_queue
5,118,arrival
5,118,join_queue
6,138,arrival
6,138,join_queue
7,165,arrival
7,165,join_queue
8,168,arrival
8,168,join_queue
9,172,arrival
9,172,join_queue
2,257,end_service
3,257,begin_service
10,312,arrival
10,312,join_queue
3,379,end_service
4,379,begin_service
11,384,arrival
11,384,join_queue
4,439,end_service
5,439,begin_service
12,506,arrival
12,506,join_queue
13,534,arrival
13,534,join_queue
14,540,arrival
14,540,join_queue
5,541,end_service
6,541,begin_service
15,557,arrival
15,557,join_queue
16,569,arrival
16,569,join_queue
17,582,arrival
17,582,balk
18,630,arrival
18,630,balk
6,749,end_service
7,749,begin_service
19,760,arrival
19,760,join_queue
20,779,arrival
20,779,balk
7,809,end_service
8,809,begin_service
21,824,arrival
21,824,join_queue
22,833,arrival
22,833,balk
23,839,arrival
23,839,balk
8,872,end_service
9,872,begin_service
24,905,arrival
24,905,join_queue
25,934,arrival
25,934,balk
26,1116,arrival
26,1116,balk
27,1164,arrival
27,1164,balk
9,1172,end_service
10,1172,begin_service
28,1186,arrival
28,1186,join_queue
29,1207,arrival
29,1207,balk
10,1232,end_service
11,1232,begin_service
30,1257,arrival
30,1257,join_queue
11,1293,end_service
12,1293,begin_service
31,1301,arrival
31,1301,join_queue
32,1326,arrival
32,1326,balk
33,1350,arrival
33,1350,balk
12,1353,end_service
13,1353,begin_service
13,1441,end_service
14,1441,begin_service
34,1442,arrival
34,1442,join_queue
14,1501,end_service
15,1501,begin_service
15,1561,end_service
16,1561,begin_service
35,1596,arrival
35,1596,join_queue
16,1621,end_service
19,1621,begin_service
36,1740,arrival
36,1740,join_queue
37,1752,arrival
37,1752,join_queue
38,1760,arrival
38,1760,join_queue
39,1829,arrival
39,1829,balk
40,1875,arrival
40,1875,balk
41,1878,arrival
41,1878,balk
19,1921,end_service
21,1921,begin_service
42,1965,arrival
42,1965,join_queue
43,2018,arrival
43,2018,balk
44,2023,arrival
44,2023,balk
45,2116,arrival
45,2116,balk
46,2125,arrival
46,2125,balk
47,2156,arrival
47,2156,balk
48,2163,arrival
48,2163,balk
21,2177,end_service
24,2177,begin_service
49,2233,arrival
49,2233,join_queue
24,2237,end_service
28,2237,begin_service
50,2288,arrival
50,2288,join_queue
51,2311,arrival
51,2311,balk
28,2379,end_service
30,2379,begin_service
52,2382,arrival
52,2382,join_queue
53,2400,arrival
53,2400,balk
54,2417,arrival
54,2417,balk
30,2439,end_service
31,2439,begin_service
55,2450,arrival
55,2450,join_queue
56,2568,arrival
56,2568,balk
31,2583,end_service
34,2583,begin_service
34,2643,end_service
35,2643,begin_service
57,2667,arrival
57,2667,join_queue
58,2701,arrival
58,2701,join_queue
35,2703,end_service
36,2703,begin_service
59,2802,arrival
59,2802,join_queue
60,2810,arrival
60,2810,balk
61,2819,arrival
61,2819,balk
36,2868,end_service
37,2868,begin_service
37,2928,end_service
38,2928,begin_service
62,2953,arrival
62,2953,join_queue
63,3001,arrival
63,3001,join_queue
38,3003,end_service
42,3003,begin_service
64,3022,arrival
64,3022,join_queue
65,3022,arrival
65,3022,balk
66,3106,arrival
66,3106,balk
67,3106,arrival
67,3106,balk
68,3137,arrival
68,3137,balk
69,3148,arrival
69,3148,balk
42,3156,end_service
49,3156,begin_service
70,3218,arrival
70,3218,join_queue
49,3253,end_service
50,3253,begin_service
71,3297,arrival
71,3297,join_queue
72,3310,arrival
72,3310,balk
73,3313,arrival
73,3313,balk
50,3329,end_service
52,3329,begin_service
74,3380,arrival
74,3380,join_queue
75,3459,arrival
75,3459,balk
76,3462,arrival
76,3462,balk
52,3519,end_service
55,3519,begin_service
77,3603,arrival
77,3603,join_queue
78,3615,arrival
78,3615,balk
79,3696,arrival
79,3696,balk
80,3730,arrival
80,3730,balk
81,3737,arrival
81,3737,balk
82,3764,arrival
82,3764,balk
83,3773,arrival
83,3773,balk
55,3819,end_service
57,3819,begin_service
84,3834,arrival
84,3834,join_queue
57,3879,end_service
58,3879,begin_service
85,3890,arrival
85,3890,join_queue
86,3915,arrival
86,3915,balk
87,3920,arrival
87,3920,balk
88,3928,arrival
88,3928,balk
89,3988,arrival
89,3988,balk
58,4027,end_service
59,4027,begin_service
59,4087,end_service
62,4087,begin_service
90,4148,arrival
90,4148,join_queue
91,4226,arrival
91,4226,join_queue
62,4293,end_service
63,4293,begin_service
92,4348,arrival
92,4348,join_queue
93,4375,arrival
93,4375,balk
63,4421,end_service
64,4421,begin_service
94,4495,arrival
94,4495,join_queue
95,4549,arrival
95,4549,balk
64,4683,end_service
70,4683,begin_service
96,4743,arrival
96,4743,join_queue
97,4773,arrival
97,4773,balk
70,4777,end_service
71,4777,begin_service
98,4827,arrival
98,4827,join_queue
99,4894,arrival
99,4894,balk
100,4952,arrival
100,4952,balk
101,5017,arrival
101,5017,balk
71,5065,end_service
74,5065,begin_service
74,5125,end_service
77,5125,begin_service
77,5185,end_service
84,5185,begin_service
102,5193,arrival
102,5193,join_queue
103,5200,arrival
103,5200,join_queue
104,5224,arrival
104,5224,join_queue
105,5248,arrival
105,5248,balk
106,5295,arrival
106,5295,balk
84,5303,end_service
85,5303,begin_service
107,5541,arrival
107,5541,join_queue
108,5588,arrival
108,5588,balk
85,5603,end_service
90,5603,begin_service
109,5608,arrival
109,5608,join_queue
110,5650,arrival
110,5650,balk
111,5735,arrival
111,5735,balk
112,5763,arrival
112,5763,balk
113,5766,arrival
113,5766,balk
114,5775,arrival
114,5775,balk
115,5813,arrival
115,5813,balk
90,5903,end_service
91,5903,begin_service
116,5962,arrival
116,5962,join_queue
91,5990,end_service
92,5990,begin_service
92,6050,end_service
94,6050,begin_service
94,6110,end_service
96,6110,begin_service
117,6166,arrival
117,6166,join_queue
96,6170,end_service
98,6170,begin_service
118,6173,arrival
118,6173,join_queue
119,6200,arrival
119,6200,join_queue
120,6243,arrival
120,6243,join_queue
121,6287,arrival
121,6287,balk
122,6312,arrival
122,6312,balk
123,6375,arrival
123,6375,balk
124,6380,arrival
124,6380,balk
125,6402,arrival
125,6402,balk
126,6455,arrival
126,6455,balk
98,6470,end_service
102,6470,begin_service
102,6600,end_service
103,6600,begin_service
127,6672,arrival
127,6672,join_queue
103,6728,end_service
