caseid,time,activity
-1,0,null_start_simulation
-1,0,start_simulation
1,12,arrival
1,12,join_queue
1,12,begin_service
1,93,end_service
2,132,arrival
2,132,join_queue
2,132,begin_service
3,169,arrival
3,169,join_queue
3,169,begin_service
3,229,end_service
4,296,arrival
4,296,join_queue
4,296,begin_service
5,300,arrival
5,300,join_queue
5,300,begin_service
6,331,arrival
6,331,join_queue
7,349,arrival
7,349,join_queue
4,356,end_service
6,356,begin_service
8,431,arrival
8,431,join_queue
2,432,end_service
7,432,begin_service
9,492,arrival
9,492,join_queue
7,502,end_service
8,502,begin_service
10,547,arrival
10,547,join_queue
6,553,end_service
9,553,begin_service
8,562,end_service
10,562,begin_service
11,571,arrival
11,571,join_queue
12,596,arrival
12,596,join_queue
5,597,end_service
13,597,arrival
13,597,join_queue
11,597,begin_service
9,613,end_service
12,613,begin_service
11,657,end_service
13,657,begin_service
12,673,end_service
13,717,end_service
14,729,arrival
14,729,join_queue
14,729,begin_service
15,804,arrival
15,804,join_queue
15,804,begin_service
10,862,end_service
14,883,end_service
16,968,arrival
16,968,join_queue
16,968,begin_service
17,1044,arrival
17,1044,join_queue
17,1044,begin_service
18,1077,arrival
18,1077,join_queue
15,1104,end_service
18,1104,begin_service
18,1164,end_service
17,1165,end_service
19,1186,arrival
19,1186,join_queue
19,1186,begin_service
16,1187,end_service
20,1225,arrival
20,1225,join_queue
20,1225,begin_service
19,1246,end_service
21,1252,arrival
21,1252,join_queue
21,1252,begin_service
22,1253,arrival
22,1253,join_queue
22,1253,begin_service
23,1261,arrival
23,1261,join_queue
24,1271,arrival
24,1271,join_queue
25,1275,arrival
25,1275,join_queue
20,1285,end_service
23,1285,begin_service
26,1289,arrival
26,1289,join_queue
21,1312,end_service
24,1312,begin_service
22,1382,end_service
25,1382,begin_service
27,1390,arrival
27,1390,join_queue
24,1441,end_service
26,1441,begin_service
25,1442,end_service
27,1442,begin_service
28,1466,arrival
28,1466,join_queue
29,1506,arrival
29,1506,join_queue
30,1517,arrival
30,1517,join_queue
31,1518,arrival
31,1518,join_queue
32,1562,arrival
32,1562,join_queue
33,1573,arrival
33,1573,join_queue
23,1585,end_service
28,1585,begin_service
34,1618,arrival
34,1618,join_queue
35,1629,arrival
35,1629,join_queue
28,1645,end_service
29,1645,begin_service
26,1677,end_service
30,1677,begin_service
29,1719,end_service
31,1719,begin_service
30,1737,end_service
32,1737,begin_service
27,1742,end_service
33,1742,begin_service
31,1782,end_service
34,1782,begin_service
36,1806,arrival
36,1806,join_queue
37,1831,arrival
37,1831,join_queue
32,1837,end_service
35,1837,begin_service
38,1853,arrival
38,1853,join_queue
39,1869,arrival
39,1869,join_queue
40,1899,arrival
40,1899,join_queue
33,1919,end_service
36,1919,begin_service
35,1926,end_service
37,1926,begin_service
36,1979,end_service
38,1979,begin_service
34,2007,end_service
39,2007,begin_service
41,2048,arrival
41,2048,join_queue
42,2056,arrival
42,2056,join_queue
37,2116,end_service
40,2116,begin_service
43,2168,arrival
43,2168,join_queue
44,2184,arrival
44,2184,join_queue
45,2213,arrival
45,2213,join_queue
46,2215,arrival
46,2215,join_queue
40,2218,end_service
41,2218,begin_service
47,2226,arrival
47,2226,join_queue
39,2259,end_service
42,2259,begin_service
41,2278,end_service
43,2278,begin_service
38,2279,end_service
44,2279,begin_service
42,2319,end_service
45,2319,begin_service
48,2322,arrival
48,2322,join_queue
43,2338,end_service
46,2338,begin_service
45,2399,end_service
47,2399,begin_service
49,2409,arrival
49,2409,join_queue
46,2414,end_service
48,2414,begin_service
44,2453,end_service
49,2453,begin_service
47,2459,end_service
49,2513,end_service
50,2530,arrival
50,2530,join_queue
50,2530,begin_service
50,2590,end_service
51,2683,arrival
51,2683,join_queue
51,2683,begin_service
52,2702,arrival
52,2702,join_queue
52,2702,begin_service
48,2714,end_service
51,2743,end_service
53,2750,arrival
53,2750,join_queue
53,2750,begin_service
52,2777,end_service
54,2799,arrival
54,2799,join_queue
54,2799,begin_service
55,2808,arrival
55,2808,join_queue
55,2808,begin_service
53,2810,end_service
56,2845,arrival
56,2845,join_queue
56,2845,begin_service
55,2868,end_service
57,2884,arrival
57,2884,join_queue
57,2884,begin_service
58,2907,arrival
58,2907,join_queue
59,2912,arrival
59,2912,join_queue
56,2928,end_service
58,2928,begin_service
58,2988,end_service
59,2988,begin_service
57,3047,end_service
59,3064,end_service
60,3081,arrival
60,3081,join_queue
60,3081,begin_service
54,3099,end_service
61,3136,arrival
61,3136,join_queue
61,3136,begin_service
62,3149,arrival
62,3149,join_queue
62,3149,begin_service
63,3193,arrival
63,3193,join_queue
61,3196,end_service
63,3196,begin_service
62,3219,end_service
64,3238,arrival
64,3238,join_queue
64,3238,begin_service
60,3240,end_service
64,3298,end_service
63,3496,end_service
65,3607,arrival
65,3607,join_queue
65,3607,begin_service
65,3667,end_service
66,3717,arrival
66,3717,join_queue
66,3717,begin_service
67,3765,arrival
67,3765,join_queue
67,3765,begin_service
66,3777,end_service
68,3897,arrival
68,3897,join_queue
68,3897,begin_service
69,3939,arrival
69,3939,join_queue
69,3939,begin_service
70,3948,arrival
70,3948,join_queue
71,3957,arrival
71,3957,join_queue
72,3966,arrival
72,3966,join_queue
67,3979,end_service
70,3979,begin_service
68,3993,end_service
71,3993,begin_service
69,4051,end_service
72,4051,begin_service
70,4098,end_service
72,4111,end_service
73,4185,arrival
73,4185,join_queue
73,4185,begin_service
74,4219,arrival
74,4219,join_queue
74,4219,begin_service
75,4229,arrival
75,4229,join_queue
76,4230,arrival
76,4230,join_queue
77,4240,arrival
77,4240,join_queue
74,4279,end_service
75,4279,begin_service
73,4281,end_service
76,4281,begin_service
71,4292,end_service
77,4292,begin_service
78,4295,arrival
78,4295,join_queue
76,4341,end_service
78,4341,begin_service
79,4401,arrival
78,4401,end_service
79,4401,join_queue
79,4401,begin_service
75,4470,end_service
77,4482,end_service
80,4513,arrival
80,4513,join_queue
80,4513,begin_service
81,4517,arrival
81,4517,join_queue
81,4517,begin_service
81,4577,end_service
82,4589,arrival
82,4589,join_queue
82,4589,begin_service
83,4596,arrival
83,4596,join_queue
79,4598,end_service
83,4598,begin_service
82,4649,end_service
83,4658,end_service
80,4693,end_service
84,4733,arrival
84,4733,join_queue
84,4733,begin_service
84,4793,end_service
85,4833,arrival
85,4833,join_queue
85,4833,begin_service
86,4850,arrival
86,4850,join_queue
86,4850,begin_service
86,4910,end_service
87,4920,arrival
