caseid,time,activity
-1,0,null_start_simulation
-1,0,start_simulation
1,23,arrival
1,23,join_queue
1,23,begin_service
2,52,arrival
2,52,join_queue
2,52,begin_service
3,61,arrival
3,61,join_queue
3,61,begin_service
1,83,end_service
2,112,end_service
3,121,end_service
4,209,arrival
4,209,join_queue
4,209,begin_service
5,282,arrival
5,282,join_queue
5,282,begin_service
5,342,end_service
4,405,end_service
6,506,arrival
6,506,join_queue
6,506,begin_service
6,566,end_service
7,586,arrival
7,586,join_queue
7,586,begin_service
8,588,arrival
8,588,join_queue
8,588,begin_service
7,646,end_service
9,664,arrival
9,664,join_queue
9,664,begin_service
10,672,arrival
10,672,join_queue
10,672,begin_service
11,715,arrival
11,715,join_queue
12,748,arrival
12,748,join_queue
13,758,arrival
13,758,join_queue
9,786,end_service
11,786,begin_service
8,789,end_service
12,789,begin_service
12,849,end_service
13,849,begin_service
14,851,arrival
14,851,join_queue
15,920,arrival
15,920,join_queue
11,947,end_service
14,947,begin_service
10,972,end_service
15,972,begin_service
16,973,arrival
16,973,join_queue
17,1005,arrival
17,1005,join_queue
14,1007,end_service
16,1007,begin_service
15,1032,end_service
17,1032,begin_service
18,1054,arrival
18,1054,join_queue
16,1067,end_service
18,1067,begin_service
19,1089,arrival
19,1089,join_queue
17,1092,end_service
19,1092,begin_service
20,1126,arrival
20,1126,join_queue
13,1149,end_service
20,1149,begin_service
18,1191,end_service
20,1229,end_service
21,1267,arrival
21,1267,join_queue
21,1267,begin_service
22,1272,arrival
22,1272,join_queue
22,1272,begin_service
21,1327,end_service
22,1332,end_service
23,1360,arrival
23,1360,join_queue
23,1360,begin_service
19,1392,end_service
24,1403,arrival
24,1403,join_queue
24,1403,begin_service
25,1443,arrival
25,1443,join_queue
25,1443,begin_service
25,1503,end_service
26,1515,arrival
26,1515,join_queue
26,1515,begin_service
23,1549,end_service
27,1585,arrival
27,1585,join_queue
27,1585,begin_service
28,1587,arrival
28,1587,join_queue
26,1588,end_service
28,1588,begin_service
29,1598,arrival
29,1598,join_queue
28,1653,end_service
29,1653,begin_service
24,1703,end_service
30,1704,arrival
30,1704,join_queue
30,1704,begin_service
27,1712,end_service
29,1713,end_service
31,1738,arrival
31,1738,join_queue
31,1738,begin_service
32,1756,arrival
32,1756,join_queue
32,1756,begin_service
33,1778,arrival
33,1778,join_queue
31,1798,end_service
33,1798,begin_service
32,1816,end_service
34,1829,arrival
34,1829,join_queue
34,1829,begin_service
35,1875,arrival
35,1875,join_queue
36,1890,arrival
36,1890,join_queue
34,1914,end_service
35,1914,begin_service
37,1926,arrival
37,1926,join_queue
38,1940,arrival
38,1940,join_queue
39,1983,arrival
39,1983,join_queue
30,2004,end_service
36,2004,begin_service
36,2064,end_service
37,2064,begin_service
33,2098,end_service
38,2098,begin_service
38,2158,end_service
39,2158,begin_service
37,2162,end_service
40,2185,arrival
40,2185,join_queue
40,2185,begin_service
35,2192,end_service
41,2233,arrival
41,2233,join_queue
41,2233,begin_service
39,2239,end_service
41,2293,end_service
40,2343,end_service
42,2435,arrival
42,2435,join_queue
42,2435,begin_service
43,2477,arrival
43,2477,join_queue
43,2477,begin_service
44,2480,arrival
44,2480,join_queue
44,2480,begin_service
42,2495,end_service
43,2537,end_service
44,2540,end_service
45,2573,arrival
45,2573,join_queue
45,2573,begin_service
46,2576,arrival
46,2576,join_queue
46,2576,begin_service
47,2584,arrival
47,2584,join_queue
47,2584,begin_service
48,2588,arrival
48,2588,join_queue
49,2602,arrival
49,2602,join_queue
46,2636,end_service
48,2636,begin_service
45,2650,end_service
49,2650,begin_service
50,2662,arrival
50,2662,join_queue
47,2669,end_service
50,2669,begin_service
49,2710,end_service
51,2710,arrival
51,2710,join_queue
51,2710,begin_service
52,2714,arrival
52,2714,join_queue
50,2729,end_service
52,2729,begin_service
48,2755,end_service
51,2770,end_service
53,2778,arrival
53,2778,join_queue
53,2778,begin_service
53,2838,end_service
54,2843,arrival
54,2843,join_queue
54,2843,begin_service
55,2853,arrival
55,2853,join_queue
55,2853,begin_service
54,2903,end_service
55,2913,end_service
56,2920,arrival
56,2920,join_queue
56,2920,begin_service
52,2936,end_service
56,2980,end_service
57,3001,arrival
57,3001,join_queue
57,3001,begin_service
58,3094,arrival
58,3094,join_queue
58,3094,begin_service
59,3103,arrival
59,3103,join_queue
59,3103,begin_service
60,3133,arrival
60,3133,join_queue
57,3145,end_service
60,3145,begin_service
61,3156,arrival
61,3156,join_queue
59,3163,end_service
61,3163,begin_service
58,3187,end_service
62,3193,arrival
62,3193,join_queue
62,3193,begin_service
60,3205,end_service
62,3253,end_service
61,3268,end_service
63,3279,arrival
63,3279,join_queue
63,3279,begin_service
64,3290,arrival
64,3290,join_queue
64,3290,begin_service
63,3339,end_service
65,3461,arrival
65,3461,join_queue
65,3461,begin_service
66,3505,arrival
66,3505,join_queue
66,3505,begin_service
65,3521,end_service
64,3536,end_service
67,3551,arrival
67,3551,join_queue
67,3551,begin_service
68,3562,arrival
68,3562,join_queue
68,3562,begin_service
66,3565,end_service
69,3569,arrival
69,3569,join_queue
69,3569,begin_service
70,3585,arrival
70,3585,join_queue
71,3634,arrival
71,3634,join_queue
68,3655,end_service
70,3655,begin_service
69,3662,end_service
71,3662,begin_service
67,3678,end_service
70,3823,end_service
72,3831,arrival
72,3831,join_queue
72,3831,begin_service
72,3897,end_service
73,3906,arrival
73,3906,join_queue
73,3906,begin_service
74,3941,arrival
74,3941,join_queue
75,3941,arrival
74,3941,begin_service
75,3941,join_queue
71,3962,end_service
75,3962,begin_service
73,3986,end_service
74,4038,end_service
76,4100,arrival
76,4100,join_queue
76,4100,begin_service
75,4109,end_service
77,4161,arrival
77,4161,join_queue
77,4161,begin_service
76,4164,end_service
77,4221,end_service
78,4371,arrival
78,4371,join_queue
78,4371,begin_service
79,4405,arrival
79,4405,join_queue
79,4405,begin_service
78,4431,end_service
80,4441,arrival
80,4441,join_queue
80,4441,begin_service
79,4465,end_service
80,4571,end_service
81,4722,arrival
81,4722,join_queue
81,4722,begin_service
81,4866,end_service
82,4871,arrival
82,4871,join_queue
82,4871,begin_service
83,4882,arrival
83,4882,join_queue
83,4882,begin_service
82,4931,end_service
84,4983,arrival
84,4983,join_queue
84,4983,begin_service
84,5043,end_service
85,5047,arrival
85,5047,join_queue
85,5047,begin_service
86,5071,arrival
86,5071,join_queue
86,5071,begin_service
85,5122,end_service
83,5182,end_service
